coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Mar 15 15:36:33 +0000 2020,,,,0,1239213907853676544,WilDonnelly,1239206682980429800,46197784,en,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@WilDonnelly Hey don’t knock it. It was decades of selective inbreeding that enabled the current republican cult.,https://twitter.com/rrretired2008/status/1239213907853676544,Sat Jan 28 23:20:32 +0000 2017,rrretired2008,false,"December 11, 2020: Conservatives have proven themselves incompatible with the responsibilities of Citizenship and Governance",5352,97,298,1,USA,independent,rrretired2008,7490,,,false
,Wed Mar 11 18:27:52 +0000 2020,,,,4,1237807468941438976,gbriddick,1237805493478924300,53175760,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@gbriddick @DrCSWilliam @BridgetSW I know those people. I call them my parents 🤷‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,https://twitter.com/jargfar/status/1237807468941438976,Thu Feb 04 17:46:14 +0000 2016,jargfar,false,"I #Resist every day because my grandkids depend on it. OKBoomer is not an insult, just ask Bill Gates.",133344,1006,884,0,S FL (for ever); VA ,Julie 🇨🇺🇺🇸,jargfar,41264,,,false
,Tue Apr 07 09:37:17 +0000 2020,,,,1,1247458413627531265,ClarkeMicah,1247448470283313200,405605548,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@ClarkeMicah @Juliajoy God you people must walk around with your eyes close - this is a totally infectious disease , it absolutely is not the flu",https://twitter.com/moodyblue81/status/1247458413627531265,Thu Mar 24 18:30:41 +0000 2011,moodyblue81,false,,132,29,114,0,,Moody :),moodyblue81,11390,,,false
,Fri Apr 17 03:42:59 +0000 2020,,,,0,1250993129659854849,TimOBrien,1250848833069875200,20742461,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@TimOBrien That’s what I’ve been wondering. What are the long-term effects?,https://twitter.com/proseandpies/status/1250993129659854849,Sat Jul 22 22:23:12 +0000 2017,proseandpies,false,#BlackLivesMatter  #BidenHarris #DogLover #Reader ‘I have both lost and found myself in books’ -Nancy Pearl,31766,899,2576,2,"Idaho, USA",Melissa Upton,proseandpies,5439,,http://proseandpies.com,false
,Sun Apr 19 00:39:33 +0000 2020,,,,2,1251671746253553664,HanianEmpress,1251668952993927200,1096797880583667700,en,,,3,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@HanianEmpress @realDonaldTrump They aren’t  counting all the nursing home patients only the ones that are publicized. They aren’t testing a lot of people with symptoms unles they are vent ready here.,https://twitter.com/PattyR1948/status/1251671746253553664,Tue Aug 11 17:29:18 +0000 2015,PattyR1948,false,#Resister #ImpeachTrump #Mygrandkidsfuture #Ihatetrump #takeourcountryback#Bluewave2020#NoDMs!,25610,1724,1964,2,"Ohio, USA",Patty Rice,PattyR1948,18043,,,false
,Fri Apr 10 14:08:00 +0000 2020,,,,2,1248613705966747649,HillReporter,1248605782813393000,16790005,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@HillReporter They will not be missed.,https://twitter.com/xeynuraf/status/1248613705966747649,Fri Jun 22 13:02:22 +0000 2018,xeynuraf,false,Madonna stan account.,147834,775,467,1,Under haters skin. 💅,Dita's Haunted Strap-on,xeynuraf,18063,,,false
,Sat Apr 11 14:25:35 +0000 2020,,,,0,1248980520152829958,HillReporter,1248605782813393000,16790005,sv,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@HillReporter Idiots,https://twitter.com/ItsJustMe_Rae/status/1248980520152829958,Sun Feb 01 05:46:37 +0000 2015,ItsJustMe_Rae,false,,16056,383,843,45,,Just Me,ItsJustMe_Rae,22348,,,false
,Sun Apr 19 00:47:15 +0000 2020,,,,5,1251673680364687363,HanianEmpress,1251668952993927200,1096797880583667700,en,,,2,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@HanianEmpress @lizmoblubuckeye @realDonaldTrump Followed. Speaking truth. Thank you. November is coming.,https://twitter.com/HelenSpringer5/status/1251673680364687363,Thu Jan 26 01:32:17 +0000 2017,HelenSpringer5,false,"Retired bureaucrat. DON. Democrat...politics my passion. Annoyingly realistic and inveterate fact-checker. No DMs. #BidenHarris #BlackLivesMatter, #resist",37667,9808,9729,5,"Kennett Square, PA",Helen Springer,HelenSpringer5,37483,,,false
,Sun Apr 19 01:12:46 +0000 2020,,,,2,1251680104448528384,HanianEmpress,1251668952993927200,1096797880583667700,en,,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@HanianEmpress @CheyenneDancer @realDonaldTrump In 12 months, ~50 million people get the flu and ~50K died, roughly .1%

In 3 months, 740K people have tested positive for covid-19 and 39K have died roughly 5%.

Math is hard.",https://twitter.com/MarkThevenot/status/1251680104448528384,Sat Jun 07 23:36:06 +0000 2014,MarkThevenot,false,My opinions are my own. They are not bought or coerced and not representative of anyone I may be affiliated with. #FBR,36384,2993,3909,2,,Mark Thevenot 🌊🇺🇸,MarkThevenot,15156,,,false
,Wed Apr 22 16:36:31 +0000 2020,magalogic,,,0,1252999734748344321,JamesFLoveIV,1252408181260603400,706301516878094300,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@JamesFLoveIV 42,000 is less than 60,000, Jimmy.

What's wrong with you?

#magalogic",https://twitter.com/TheBirdman/status/1252999734748344321,Thu Jun 05 21:26:14 +0000 2008,TheBirdman,false,"C-jazz fan, man on a mission. Tweeting/RTing in support of the greater registered community and reform of SO registration laws. Opinions my own.",57396,188,83,13,"Rochester, NY",TheBirdman,TheBirdman,21163,,,false
