coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Jul 23 15:05:56 +0000 2020,,,,0,1286316624191135745,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I’d like to ask a question about the safety of Teachers &amp; children in the classroom. 🍎

If children are not likely to carry and transmit covid, why wear the mask in the classroom? I understand the adults should, but what information are you hearing about that?",https://twitter.com/IrishErinB/status/1286316624191135745,Tue Aug 02 18:19:20 +0000 2011,IrishErinB,false,#NKOTB ❤️ #Beautycounter #CleanBeauty #BetterBeauty  #YR,7224,6676,4625,58,"Minnesota, USA 🇺🇸",🇺🇸ERIN☘️,IrishErinB,51812,,http://www.beautycounter.com/erinbale,false
,Mon Aug 10 11:21:43 +0000 2020,,,,0,1292783181842849792,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Curious if anyone has looked into private contractors providing contact tracing services in Florida? What is their profit margin? Contact rate? We should be recruiting from communities for these jobs, b/c unemployment... cc: @PatriciaMazzei @conarck @dchangmiami @MaryEllenKlas",https://twitter.com/MelissaKariWard/status/1292783181842849792,Fri Dec 26 16:32:01 +0000 2008,MelissaKariWard,false,"Social Epidemiologist studying barriers to care, esp for women. Tweets likely about pub health, politics, or faith. 🇨🇷🇿🇦 roots. she/her/Dr. Views=my own.",25380,1013,2736,14,Broward County,"Melissa Ward, PhD, MPH",MelissaKariWard,4180,,,false
,Wed Aug 05 14:55:30 +0000 2020,,,,1,1291025039219757056,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",What is a BC teacher’s legal culpability when contact tracing identifies their “Learning Group” as the the origin of a COVID-19 outbreak? Teachers will not be able to guarantee that children always behave safely. @bcedchat @Rob_Fleming @bctf @Dave_Eby @mike_farnworth,https://twitter.com/mvillette/status/1291025039219757056,Sun Nov 20 21:41:54 +0000 2011,mvillette,false,"Kindergarten Teacher, ADTU Executive Member, Choir Director, Handbell Director, musician. my tweets and opinions are my own.",272,95,100,1,"Port Alberni, British Columbia",Michael Villette,mvillette,903,,,false
,Tue Aug 04 20:42:34 +0000 2020,,,,6,1290749995503755270,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Agree with the decision not to move to phase 4 but what is closing bars/restaurants doing other than dessimating an already struggling industry and encouraging people to go to houseparties? Surely in a pub with bookings and contact tracing is better and safer,https://twitter.com/FionaLynch1997/status/1290749995503755270,Tue Feb 28 19:19:49 +0000 2012,FionaLynch1997,false,"23. Éire. UCD Economics. Aspiring Home and Dog Owner, with a fancy job in Finance. Currently a dog-less renter with a job she regularly doesn’t understand.",29589,471,473,4,"Donegal, Ireland",Fi 🎈,FionaLynch1997,14414,,http://www.instagram.com/fiona_lynch,false
,Wed Jul 08 23:34:49 +0000 2020,,,,0,1281008871516131329,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Should anyone listen to idiots? Hell no. There is a disease that is attacking us and we are defenseless. You know why, because morons convinced part of the country not to wear a mask? Now they want us to toss our children up in it. Fk no! You do it!",https://twitter.com/Elizabe44166685/status/1281008871516131329,Sat Nov 12 13:42:21 +0000 2016,Elizabe44166685,false,"Earth, family, and animal lover, Resistance, voted for true president Hilary Clinton!",2293,858,905,2,"Ohio, USA",Elizabeth Carr,Elizabe44166685,9551,,,false
,Thu Aug 13 21:32:42 +0000 2020,covidNZ nzpol,,,2,1294024101858652160,,,,en,,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#covidNZ #nzpol 
What is the progress @nzlabour on the COVID CARD contact tracing tool looked at 4 months ago?
Newsroom reported the card option was presented to Justice Minister Andrew Little and Communications Minister Kris Faafoi on April 12.
Are you plonkers doing anything?",https://twitter.com/chloecola1968/status/1294024101858652160,Mon Oct 15 00:32:53 +0000 2018,chloecola1968,false,,16938,153,194,4,,mustlovedogs,chloecola1968,5355,,,false
,Thu Aug 20 11:45:11 +0000 2020,,,,7,1296412963994247169,,,,en,,,2,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dr Strang said contact tracing in schools would use the NSHA definition of ""close contact"".

What is that definition? @ChenderMLA @TimothyHalman @withwozney",https://twitter.com/MattSpurway_NS/status/1296412963994247169,Fri Jun 24 11:49:54 +0000 2011,MattSpurway_NS,false,Community working father of daughters. Problem solving pragmatic revolutionary. Left-handed neurodivergent classic Simpsons fan. Basically good.,3415,632,348,6,"Dartmouth, Nova Scotia",Diplomatt,MattSpurway_NS,3441,,,false
,Wed Jul 15 02:17:53 +0000 2020,,,,0,1283224234635022341,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Has anyone told the ReOpenNC people that their children have to wear a mask o go back to school? That should solve most of these issues.,https://twitter.com/CcmsChorus/status/1283224234635022341,Sun Aug 26 20:56:42 +0000 2018,CcmsChorus,false,"Mr. Ted Willis, NBCT 🏳️‍🌈 He/him/his My tweets and views are my own!",921,108,112,2,"Knightdale, NC",MusicalCheesecakes,CcmsChorus,628,,,false
,Fri Aug 07 18:57:21 +0000 2020,,,,4,1291810681537339392,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hi, question... if I’m in the middle of the store and I see a woman and her children walking around and she doesn’t have her mask on properly and her children done even HAVE them 😤 can/should I say something? (In my state you legally have to wear a mask when in a building)",https://twitter.com/nalabell29/status/1291810681537339392,Sat Nov 18 03:51:19 +0000 2017,nalabell29,false,can I pet your dog? BLM (she/her),41996,61,679,0,"Grand Rapids, MI",Paige,nalabell29,1502,,,false
,Tue Aug 18 07:28:41 +0000 2020,,,,12,1295623638457159680,,,,en,,,3,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Best mask compliance argument:

“Whilst there is no conclusive evidence, it does at least slow down the spread of a virus and will therefore save some lives. Just wear one”

If that is the rationale. Flu disproportionately kills children, should we wear a mask forever?",https://twitter.com/EwellGregoor/status/1295623638457159680,Thu Sep 25 09:00:55 +0000 2014,EwellGregoor,false,Orwellian - Left-libertarian - Keynesian - Bookworm - Writes a bit - Forecasts a bit - Member of the free speech union - Rubik Cube master - Free Assange,5908,3568,4998,3,,Ewell Gregoor,EwellGregoor,13003,,,false
,Sun Aug 02 17:24:40 +0000 2020,COVID19,,,0,1289975416397025280,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","what is the benefit of testing non symptomatic people if he/she have no travel history and have not been in contact of any positive patient or not involved in any contact tracing??? 
#COVID19",https://twitter.com/arvindpahadia/status/1289975416397025280,Tue Mar 02 17:14:45 +0000 2010,arvindpahadia,false,"Entrepreneur, Random Tweeter, love #Sports #Movies #Music ❤ Sachin❤Messi",5663,539,332,5,"Dibrugarh, Assam, Bharat ",Arvind  🇮🇳,arvindpahadia,10379,,,false
,Tue Aug 18 16:19:16 +0000 2020,KNOWIdentity,,,0,1295757162996801537,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","There is an active debate as to how effective contact tracing can be. How many people would you need to employ to make contact tracing effective? What is going to be the right way to go about it? - @NathanRowe2, @EvidentID, #KNOWIdentity",https://twitter.com/1WorldIdentity/status/1295757162996801537,Tue Sep 13 19:40:16 +0000 2016,1WorldIdentity,false,"Trusted advisors at the nexus of identity 
Proud host of #KNOWIdentity events",4310,5769,4015,290,"New York, NY",OWI,1WorldIdentity,15889,,http://www.oneworldidentity.com,false
,Thu Jul 30 21:59:13 +0000 2020,FireLecce,,,3,1288957347545731079,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","We can't go to any indoor area without a mask and physical distancing in Ontario, but I should be in a room with 20 six year olds who are not required to wear masks or distance themselves!? There are several incidences of outbreaks among children in Canada.  #FireLecce",https://twitter.com/Magoodoggy/status/1288957347545731079,Fri Jul 22 15:24:21 +0000 2011,Magoodoggy,false,Glorified Babysitter (she/her),43866,95,587,0,The Suburbs,Magoo,Magoodoggy,3969,,,false
,Mon Jul 13 13:13:35 +0000 2020,,,,6,1282664471014420482,,,,en,,,2,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",What are we teaching children when they wear a mask?  They are learning to sneezing in their masks.  We should teach them to sneeze in a tissue.  Gross.,https://twitter.com/ArlenaRio/status/1282664471014420482,Tue Sep 17 19:49:07 +0000 2019,ArlenaRio,false,Greatly Resist The Great Reset.,40490,913,1324,1,,Arlena Rio Dell,ArlenaRio,17320,,http://riotracks.com,false
,Sat Jul 18 18:12:52 +0000 2020,,,,4,1284551729493823498,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",My sister isn’t sure if she should send her kid to pre k this fall. The classes are really small (4 children) but no one will wear a mask. What do y’all think?,https://twitter.com/VeronicaEpi/status/1284551729493823498,Tue Sep 25 06:23:13 +0000 2018,VeronicaEpi,false,Epidemiology PhD candidate @UF. Master of Public Health. Studying alcohol 🍺 and HIV 🦠. Posts more about my cat and dog than my science.,7897,1321,1226,6,"Gainesville, FL.    ",Veronica Richards (she/her) ✨,VeronicaEpi,1685,,,false
,Tue Aug 11 16:21:59 +0000 2020,,,,8,1293221130971385859,,,,en,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tr*mp lovers on Facebook be like 
“PEDOPHILES!
CHILD TRAFFICKING!
CHILD TRAFFICKING!
CHILD TRAFFICKING should scare you more than covid!” Like okay? Why can’t you care about anyone but your white children? They should both scare you. And you should care about both. Wear a mask😷",https://twitter.com/gillard_tanner/status/1293221130971385859,Fri Mar 06 14:24:55 +0000 2020,gillard_tanner,false,"Capricorn// he,him,his// 18",10435,64,106,0,"Kaysville, UT",𝚝𝚊𝚗,gillard_tanner,1223,,,false
,Fri Aug 07 15:59:47 +0000 2020,,,,5,1291765993539276800,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","does your toddler wear a mask? mine will be 2 next month and it’s not mandated for children under 5, and the only place she’s really going besides daycare is the grocery store...but i’m wondering if i should introduce the idea to her",https://twitter.com/katienotwiener/status/1291765993539276800,Thu Jun 28 05:25:39 +0000 2012,katienotwiener,false,"pdx ✈️ kc - i mostly tweet about my baby, my pets, netflix, and being married to a german. sometimes i’m funny #hailyourself",29721,428,590,5,"Overland Park, KS",oscar mayer wehner lover,katienotwiener,13312,,,false
,Wed Aug 05 20:50:48 +0000 2020,,,,14,1291114454105505792,,,,en,,,0,,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",Now that we are 5 months into this and the state is doing contact tracing…why is their no info on where people are contracting COVID? What % is at home? Office? Grocery stores? Social gatherings? No data on this being shared ?,https://twitter.com/tbhawkes/status/1291114454105505792,Mon Mar 30 14:18:37 +0000 2009,tbhawkes,false,"PE, VC, and RE. Co-Founder of https://t.co/8NfZygFD9m, real estate developer and seed investor of https://t.co/kpeHxOHwdK, owner of retail stores. Culture is Contagious.",3742,1917,249,60,"Meridian, Idaho / Boise State Alum",Travis B. Hawkes,tbhawkes,33893,,http://www.CapitalEleven.com,false
,Thu Aug 27 04:43:35 +0000 2020,,,,0,1298843581596262401,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SOMETHING SEEMINGLY ILLOGICAL: When I watch families with young children shopping without face masks while the parents are if full gear with mask and sometimes a shield! Ok.... aren't children human? Therefore, if adults should wear protection, shouldn't the children?",https://twitter.com/drkevinedward/status/1298843581596262401,Tue Jan 21 06:46:06 +0000 2014,drkevinedward,false,Natural Physician. Research Scientist. Musician. Author. Cyclist. Enjoying Life. Desire to be a Beautiful Creation of God sharing His Love and Insight with You,197,563,640,13,Texas/California,Dr. Kevin Edward,drkevinedward,4566,,,false
