coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Aug 05 14:34:11 +0000 2020,,https://twitter.com/NingchengLi/status/1291019675652853761/photo/1,,1,1291019675652853761,NingchengLi,1291019674390392800,1105233078929125400,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","5/

Intra-axial susceptibilities were most common (74%), often with a non-spherical shape and predilection for white matter tract, suggestive of microvascular pathology (endotheliopathy, microthrombosis, and microinfarction) https://t.co/iklOvngmVr",https://twitter.com/NingchengLi/status/1291019675652853761,Mon Mar 11 22:24:35 +0000 2019,NingchengLi,false,#irad IRDR Resident Physician at OHSU Dotter Interventional Institute @OHSURadiology @dotter_IR @YaleMed and @PennEngineers graduate,389,201,238,4,"Portland, OR","Ningcheng (Peter) Li, MD",NingchengLi,226,,,false
,Wed Aug 19 18:16:56 +0000 2020,GOPComplicitTraitors GOPScam,https://twitter.com/thesofa/status/1296149161709101063/photo/1,,0,1296149161709101063,RepCarolMiller,1288996001664172000,1081318716573470700,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@RepCarolMiller Yes! because that's how drug addiction is 'cured' by building walls. 
#GOPComplicitTraitors 
#GOPScam https://t.co/xhFsJUm4Pt",https://twitter.com/thesofa/status/1296149161709101063,Thu May 21 15:36:49 +0000 2009,thesofa,false,"| MD MBA | Medical Specialist | Physician | Guitar | Golf | INDO |
Ars longa, vita brevis, occasio praeceps,
experimentum periculosum, iudicium difficile |",16,1875,897,140,Hollandia ,Georg Fritz,thesofa,49112,,,false
,Wed Aug 19 18:17:54 +0000 2020,,,,1,1296149407000342529,RepCarolMiller,1288996001664172000,1081318716573470700,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@RepCarolMiller Because that’s not where the drugs come from genius.,https://twitter.com/yascaoimhin/status/1296149407000342529,Wed Jan 08 21:25:00 +0000 2014,yascaoimhin,false,Minister for Queer Transport. #FreePalestine #TransLiberationNow,81663,5581,3149,50,"Dublin, Ireland",Caoimhín 🏳️‍🌈 🇵🇸 (he/sé/they/iad),yascaoimhin,83000,,,false
,Sat Aug 15 11:52:53 +0000 2020,,,,5,1294602961683980289,RepCarolMiller,1288996001664172000,1081318716573470700,en,"West Virginia, USA",,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@RepCarolMiller Congress and it's committees are responsible of how drugs are allocated to pharmaceuticals! It is West Virginia representatives responsible to make sure that those allocations aren't falsely given to States that cause redistribution to pharmacies and hospitals in West Virginia.,https://twitter.com/kpuchtler/status/1294602961683980289,Sun May 03 11:42:55 +0000 2009,kpuchtler,false,,48953,190,86,0,,32 Years Military 25 Years Gov.,kpuchtler,10733,,,false
,Mon Aug 24 12:16:42 +0000 2020,,,,1,1297870446919114752,JackieTHarty,1297870319399690200,887133361,en,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","FDA approved the use of convalescent plasma, the antibody-rich blood component taken from recovered Covid-19 patients, for the treatment of serious coronavirus cases.",https://twitter.com/JackieTHarty/status/1297870446919114752,Wed Oct 17 16:23:20 +0000 2012,JackieTHarty,false,Child of God/Mom&Grandma/JeaneKirkpatrick/all 8 Reagan years@State Dept & White HouseNSC/DC think tanks/CubanAmericans/Jazz&Jeeps/GA&PuertoRico,11332,556,959,3,United States,JackieTillmanHarty,JackieTHarty,18571,,,false
,Wed Aug 19 23:18:37 +0000 2020,,,,0,1296225083904724992,RepCarolMiller,1288996001664172000,1081318716573470700,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@RepCarolMiller Aren’t those oxytocin’s coming from doctors ? In your state? Check the sources and care about your people instead of the wall,https://twitter.com/pamelamosquito/status/1296225083904724992,Fri Jan 20 05:44:46 +0000 2017,pamelamosquito,false,"Pamela’s works are not the results but the process. created in juxtaposed jungles,under sun ripened skies, mosquito mania, ridiculous rains and raw human hunger",185278,1906,4983,3,FB pamela braun art/paintings,Pamela,pamelamosquito,89251,,http://www.pamelabraun.com,false
,Wed Aug 19 18:14:22 +0000 2020,,,,1,1296148515647885312,RepCarolMiller,1288996001664172000,1081318716573470700,en,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@RepCarolMiller You think drugs only come from Mexico and a wall will stop that?,https://twitter.com/flinderdude/status/1296148515647885312,Wed Apr 06 23:08:35 +0000 2011,flinderdude,false,White guy. I like Coke Zero and have a Ford Taurus.,107569,383,1408,7,close enough to NYC,Democrats Were Right About This Years Ago,flinderdude,31584,,https://twitter.com/#!/flinderdude,false
,Thu Jul 16 21:56:56 +0000 2020,,,,0,1283883340270055425,EricLiptonNYT,1283882623744512000,375662595,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@EricLiptonNYT Do you feel the WH has discredited the @CDCgov ?,https://twitter.com/KevinDCushing/status/1283883340270055425,Mon Jan 17 02:01:20 +0000 2011,KevinDCushing,false,Trying to leave things better than I found them.,1651,110,504,3,"Ossining, NY via Kenosha, WI",Kevin Cushing,KevinDCushing,4532,,,false
,Wed Aug 19 18:15:11 +0000 2020,,,,0,1296148722359861248,RepCarolMiller,1288996001664172000,1081318716573470700,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@RepCarolMiller Sadly, a wall won't stop this, Congresswoman.",https://twitter.com/jackandloganinc/status/1296148722359861248,Sat Aug 28 13:21:19 +0000 2010,jackandloganinc,false,"Politicritter. 🌊 Musician/songwriter 🎸. Avi8or 🛩. Recovering software eng. Standup comedian to two unamused dogs.

""Call me trimtab."" Buckminster Fuller.",172264,594,2975,1,"NY, USA",Dennis Donovan,jackandloganinc,43734,,http://democraticunderground.com,false
,Sat Aug 15 14:21:06 +0000 2020,,,,1,1294640261696573442,kpuchtler,1294639628746711000,37403937,en,"West Virginia, USA",,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@RepCarolMiller Who is on the committee or subcommittee that is West Virginians representative for pharmaceutical companies and the DEA?,https://twitter.com/kpuchtler/status/1294640261696573442,Sun May 03 11:42:55 +0000 2009,kpuchtler,false,,48953,190,86,0,,32 Years Military 25 Years Gov.,kpuchtler,10733,,,false
