coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Sep 16 12:28:13 +0000 2020,,,,0,1306208265274109952,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AngelWarrior321 @karatebilly80 It's not like we didn't know this.  
I wish China would release whatever else they know about the virus.  One things for sure...it wasn;t a friggin' accident.",https://twitter.com/MajorDog524/status/1306208265274109952,Sat Aug 26 16:20:32 +0000 2017,MajorDog524,false,"cuddly, patriotic GSD Therapy Dog 🐾 helping humans recover from #Addiction.  Unapologetically pro 🇮🇱 
Rabid Defender of #2ndAmendment #ShallNotBeInfringed",16612,911,1605,8,CT & AUA,Major 🇺🇸,MajorDog524,23485,,https://www.youtube.com/watch?v=h5NU4wp4CZY,false
,Wed Sep 16 11:12:26 +0000 2020,,,,3,1306189193404657670,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@AngelWarrior321 Know we want the evidences that she stated that she has.,https://twitter.com/treg2000/status/1306189193404657670,Thu Jan 03 15:03:47 +0000 2019,treg2000,false,🍁🥊🖋🥋,9720,130,465,2,"Québec, Québec",Gerald Tremblay,treg2000,5188,,,false
,Wed Sep 16 12:39:54 +0000 2020,,,,22,1306211206965886978,AngelWarrior321,1306185322540171300,1445111881,en,,,3,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@AngelWarrior321 @cmoore91255 Agree to bring the world economies down and they will be on top,  The world needs to get all our factories Out &amp; Start MADE IN USA ONCE AGAIN",https://twitter.com/CarlosMLacayo/status/1306211206965886978,Wed Apr 04 20:34:02 +0000 2012,CarlosMLacayo,false,"God,Country,Family. Reagan Conservative. Practicing Catholic. Latino and Proud.",14642,176,675,0,"Florida, USA",Carlos M. Lacayo,CarlosMLacayo,21172,,,false
,Wed Sep 16 15:43:51 +0000 2020,,,,2,1306257499260059648,RKisner,1306201714786291700,295328243,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@RKisner @AngelWarrior321 I couldn't agree more!!!,https://twitter.com/ElyseeEyes/status/1306257499260059648,Tue Mar 24 20:05:48 +0000 2020,ElyseeEyes,false,"Real Eyes, Realize Real Lies 💓💫💖 #TRiͥUMPhͪ",22088,193,236,0,"Notin, Yourhands",Bella,ElyseeEyes,10176,,,false
,Wed Sep 16 12:10:18 +0000 2020,,,,0,1306203756586053632,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@AngelWarrior321 I believe most of us just about knew this fact.,https://twitter.com/KentuckyKennyZ/status/1306203756586053632,Tue Jan 19 19:30:10 +0000 2016,KentuckyKennyZ,false,,10731,654,458,2,,BigZ,KentuckyKennyZ,7226,,,false
,Wed Sep 16 13:02:48 +0000 2020,,https://twitter.com/freebird939/status/1305509104736059392/photo/1,,0,1306216968714948610,AngelWarrior321,1306185322540171300,1445111881,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AngelWarrior321 @kathyfw6 An ""utterly deranged nutter with a mind unclouded by facts, evidence, or reason"" may not be the best of sources. Just ask Rudy. https://t.co/hhTg0kZeph",https://twitter.com/Sparky50732252/status/1306216968714948610,Sat Feb 04 06:49:52 +0000 2017,Sparky50732252,false,"You can not own the land, the land owns you.  Ahoy ⚓️",32758,2856,4999,4,,Spด้้้้้rky,Sparky50732252,40361,,https://www.youtube.com/playlist?list=PLneypbodq-jYq9a6Y8BjobC6KJOIBLCZB,false
,Wed Sep 16 14:15:13 +0000 2020,,,,1,1306235193431404546,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@AngelWarrior321 @hyoon106 Shocking.  I did think it had been developed in the labs in Wuhan but I thought it’s release has been an accident.,https://twitter.com/sharonhearne11/status/1306235193431404546,Sat Jul 21 23:08:09 +0000 2018,sharonhearne11,false,"Retired from a long career in HR for a Global Corporation. Good Friend, Love walks with my dogs. Like politics, reading, music & gardening.",30456,962,896,2,"Hampshire, UK, Europe",sharon hearne 🇬🇧,sharonhearne11,19712,,,false
,Wed Sep 16 12:38:40 +0000 2020,,,,0,1306210895241113601,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@AngelWarrior321 @TexasKenJSmith Not surprised. It’s like some kind of international spy novel in real life!,https://twitter.com/vanne_way/status/1306210895241113601,Sat Feb 16 00:48:04 +0000 2019,vanne_way,true,"A girl who loves her dog, her Savior, her family, and President Trump!",8136,42,143,0,,make away,vanne_way,5083,,,false
,Wed Sep 16 11:35:05 +0000 2020,,,,1,1306194896244617217,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AngelWarrior321 @EagleEyeFlyer Knew it,https://twitter.com/outdooranswer/status/1306194896244617217,Thu Jul 23 13:19:17 +0000 2009,outdooranswer,false,"Registered Maine Guide, Biologist, let's go outside. 🥴llllll🥴 it if you don't want to walk! Fortis Fortuna Adiuvat",16275,430,305,8,"right behind you, boo",Outdoor Answer,outdooranswer,11564,,,false
,Wed Sep 16 12:36:39 +0000 2020,,,,1,1306210386593677313,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AngelWarrior321 @Neen_Katzmann I say that is what I thought happened. 🙄,https://twitter.com/RobisonShelly/status/1306210386593677313,Wed Jan 31 16:49:29 +0000 2018,RobisonShelly,false,"#OrangeUpForTrump I'm a complicated, kind, sweet soul. Still married, Mother to 3, Nana to 5. Life is so hard sometimes. Trying to stay positive thru it all.❤",190143,671,225,4,Midwest,Shelly Robison,RobisonShelly,24200,,,false
,Wed Sep 16 11:58:45 +0000 2020,COVID,,,1,1306200852512886787,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AngelWarrior321 @Moltronic I don't believe #COVID was *made* in a lab - it's an extremely ugly virus, and as we've seen it's not especially effective for any conceivable bio-weapon purpose.

I *do* believe it was released from a lab that was studying it, most likely by incompetence but who knows?",https://twitter.com/j_gelling/status/1306200852512886787,Tue Jan 13 01:01:00 +0000 2009,j_gelling,false,"Lawyer and author, nationalist populist patriot, #MAGA #KAG #Trump #2A Tweeting all things politics, current events and other dangerous games of chance.",50433,17921,15119,49,New York,J. Gelling,j_gelling,40771,,,false
,Thu Sep 17 21:15:07 +0000 2020,,,,0,1306703253929897984,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AngelWarrior321 @Stonegate4me Actually I suspect Putin and trump who did away with the CDC safe guards prior to the outbreak and then played it down for months. Why would China implicate it's self by releasing it there? Some one sure wants us to believe China is responsible.,https://twitter.com/warwithlies/status/1306703253929897984,Thu Mar 02 15:42:20 +0000 2017,warwithlies,false,".#Endfillibuster #EndGQP #EndRacism #EndFox #EndCovid #EndOil #EndNra
#EndReligionInGovernment #EndTrophyHunting #EndFascism #EndTrumpsturbation",12778,5069,5361,2,Missouri,#BIDENHARRIS,warwithlies,28512,,,false
,Wed Sep 16 12:42:30 +0000 2020,,,,1,1306211860002332672,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@AngelWarrior321 @cmoore91255 Thinking China might not have been the only ones involved...💰💰,https://twitter.com/SommersKimberly/status/1306211860002332672,Sat Dec 15 02:14:28 +0000 2012,SommersKimberly,false,💙🇺🇸❤️ America first❣️Go Iowa🖤💛,79058,620,1696,0,,kimberly sommers,SommersKimberly,285,,,false
,Wed Sep 16 12:02:11 +0000 2020,,,,10,1306201714786291713,AngelWarrior321,1306185322540171300,1445111881,en,,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@AngelWarrior321 If true it is a act of criminal intent. Which was design to cause worldwide harm. CCP should be declared a criminal mafia organization and punished for this,https://twitter.com/RKisner/status/1306201714786291713,Sun May 08 20:13:01 +0000 2011,RKisner,false,,109315,1267,3445,2,,ray kisner,RKisner,3902,,,false
,Wed Sep 16 12:13:07 +0000 2020,,,,9,1306204465486233601,AngelWarrior321,1306185322540171300,1445111881,en,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@AngelWarrior321 @JamesearlRober2 Said it since day one. Bio weapon,https://twitter.com/streetbear57/status/1306204465486233601,Fri Oct 21 16:07:49 +0000 2011,streetbear57,false,"Evangelist for the Lord Jesus Christ. Sinner saved by the Cross of Christ, God's grace.",107394,11735,7361,19,USA,BEAR ( Jerry),streetbear57,83802,,,false
,Wed Sep 16 11:08:02 +0000 2020,,,,0,1306188087563874305,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AngelWarrior321 @TexasKenJSmith I'd say, ""Time is telling.""!",https://twitter.com/rhonda_mangus/status/1306188087563874305,Sun Nov 07 14:31:10 +0000 2010,rhonda_mangus,false,"Think for yourself, or others will think for you without thinking of you. ~
Henry David Thoreau 

Retweets/follows ≠ endorsement",21166,2029,3793,67,New York,Rhonda Mangus,rhonda_mangus,46346,,,false
,Wed Sep 16 18:26:54 +0000 2020,,,,1,1306298531917987840,CarlosMLacayo,1306211206965887000,545505321,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@CarlosMLacayo @AngelWarrior321 @cmoore91255 Not just economy, CCP wants to control the whole world.",https://twitter.com/njatlarch/status/1306298531917987840,Sun Dec 01 23:48:39 +0000 2013,njatlarch,false,,60846,457,677,14,,MAGA! 🇺🇸🇺🇸🇺🇸 Q,njatlarch,44671,,,false
,Wed Sep 16 12:51:28 +0000 2020,,,,1,1306214115921268737,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@AngelWarrior321 Has been my thought from the beginning! Communist China hates Trump and what he is doing to them.,https://twitter.com/GolfrulesPatti/status/1306214115921268737,Tue Oct 07 22:55:41 +0000 2014,GolfrulesPatti,false,"Trump supporter, Dawgs, Braves, LPGA. my Irish mom told me I could do whatever I put my mind to.....being a female never got in my way🤣",14605,200,1377,0,Atlanta,golfrules,GolfrulesPatti,6102,,,false
,Wed Sep 16 13:25:23 +0000 2020,,,,0,1306222654597152768,AngelWarrior321,1306185322540171300,1445111881,en,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@AngelWarrior321 Possible I guess? I don’t think China can be trusted no matter what joe Biden says.,https://twitter.com/AragonStories/status/1306222654597152768,Tue Oct 17 04:02:57 +0000 2017,AragonStories,false,"My coauthor and I write mostly historical romance, paranormal / time travel romance.",573,2961,4199,33,"Queen Creek, Arizona",Aragon stories,AragonStories,8456,,http://www.aragonstories.com,false
,Wed Sep 16 13:19:16 +0000 2020,,,,0,1306221112980725760,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@AngelWarrior321 We'll never know for sure, but you can bet your sweet ass there was a high level Democrat involved...",https://twitter.com/blaisdell_gary/status/1306221112980725760,Thu Jun 30 15:13:43 +0000 2016,blaisdell_gary,false,Humor Government & Politics Golf,13740,308,514,0,"Arizona, USA",Gary Blaisdell,blaisdell_gary,16365,,,false
,Wed Sep 16 16:28:37 +0000 2020,,,,1,1306268765848588297,Ohsoleanna,1306265744062255000,37436945,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Ohsoleanna Hold your horses.
""revealed""? I trust Tucker to do his work diligently, but we need some more science before jumping into conclusions. Having said that I strongly suspect this info to be accurate.",https://twitter.com/MmentoAudereSe1/status/1306268765848588297,Sun Jun 14 08:14:18 +0000 2020,MmentoAudereSe1,false,Libre.,11692,140,185,0,,Memento 🇮🇹🇲🇫,MmentoAudereSe1,4513,,,false
,Wed Sep 16 11:12:42 +0000 2020,,,,1,1306189260916228097,AngelWarrior321,1306185322540171300,1445111881,en,"Brookings, SD",,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AngelWarrior321 Facebook is censoring the video.  Calling it false.,https://twitter.com/DarlaVanDyke/status/1306189260916228097,Tue Jun 19 22:46:30 +0000 2012,DarlaVanDyke,false,"UNITED WITH TRUMP. May the Lord protect him. 
MAGA",19917,2456,3226,1,United States,trumpicana 😇,DarlaVanDyke,8813,,,false
,Wed Sep 16 13:00:22 +0000 2020,,,https://www.newsweek.com/dr-fauci-backed-controversial-wuhan-lab-millions-us-dollars-risky-coronavirus-research-1500741,0,1306216355788656642,AngelWarrior321,1306185322540171300,1445111881,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AngelWarrior321 It was created in Wuhan lab and Fauci was in on it!
Paid money to Wuhan lab in 2019?
Gain of function (bio weapon) research?
https://t.co/Tr4XEkFFlr",https://twitter.com/RightsSpiritual/status/1306216355788656642,Thu May 16 00:40:55 +0000 2019,RightsSpiritual,false,"Silver is patriotic!
Stack silver for your freedom!
Silver is Achilles heel of global elites!
Silver opportunity of a lifetime!
A struggling human!",70,398,1397,0,,SilverSqueeze ! Apes stack! Apes win!,RightsSpiritual,5675,,,false
,Wed Sep 16 16:31:49 +0000 2020,,,,0,1306269570378932224,MmentoAudereSe1,1306268765848588300,1272079752585764900,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@MmentoAudereSe1 Me too ! I also think the Dem are behind it 100%! to make trump lose the election .,https://twitter.com/Ohsoleanna/status/1306269570378932224,Sun May 03 15:35:39 +0000 2009,Ohsoleanna,false,"꧁My family is of all colors !  Italian girl    BACK THE BLUE! #TRUMP2020 #MAGA #KAG activist , Love to travel ....... Patriot ! Blacklist hollywerid !!!
🥀🥀",7014,1100,1815,0,Usa !!! ,Marini Italian 2020 X-Democrat Redpill,Ohsoleanna,7740,,,false
,Wed Sep 16 12:26:29 +0000 2020,,,,0,1306207828143747072,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AngelWarrior321 @richmond_ron Was there ever any doubt?,https://twitter.com/Isthereanynotus/status/1306207828143747072,Sat Mar 19 19:57:30 +0000 2011,Isthereanynotus,false,,44858,349,728,7,"Nowata, OK",Carroll Manley,Isthereanynotus,1996,,,false
,Wed Sep 16 11:12:14 +0000 2020,,,,1,1306189142846517248,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AngelWarrior321 @MHIDER3 Been saying it from the beginning,https://twitter.com/LHairdressor/status/1306189142846517248,Tue Sep 03 17:45:12 +0000 2019,LHairdressor,false,Best hairstylist in Cheektowaga New York,10936,62,266,0,"Cheektowaga, NY",LouTheHairdressor,LHairdressor,4789,,,false
,Wed Sep 16 12:44:52 +0000 2020,,,,0,1306212457560641536,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AngelWarrior321 Who did not already think that,https://twitter.com/VDrakecp/status/1306212457560641536,Thu Nov 12 00:41:45 +0000 2009,VDrakecp,false,,29158,732,2922,1,"Indianapolis, IN",Respect My Vote,VDrakecp,17661,,,false
,Wed Sep 16 12:13:24 +0000 2020,,,,1,1306204538546933762,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AngelWarrior321 @Emma34770971 Probably a safe bet,https://twitter.com/BillDempster6/status/1306204538546933762,Tue Feb 11 21:50:43 +0000 2020,BillDempster6,false,"Love my country 
Hate cruelty of any kind 
Love animals more than most people
Senior Site Manager 
House building",14686,1357,1934,0,South of England ,Will.i.am,BillDempster6,18309,,,false
,Wed Sep 16 16:27:10 +0000 2020,,,,0,1306268399148896257,AngelWarrior321,1306185322540171300,1445111881,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@AngelWarrior321 I don't see the logic of releasing the Wu-flue intentionally. I'd find it more likely it was an accident.,https://twitter.com/Qbeck01/status/1306268399148896257,Thu Jan 20 18:37:53 +0000 2011,Qbeck01,false,"aviation electronics,chess,starcraft,pc gaming nerd",88025,253,796,3,Indiana,Qbeck,Qbeck01,6578,,,false
