coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Mar 05 14:02:28 +0000 2020,,,https://twitter.com/SCMPNews/status/1235458430590017536,9241,1235566351093137408,,,,en,,false,11696,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Miss corona u have another job to do 😍😍 https://t.co/yvdWbfTbMf,https://twitter.com/mabitxch/status/1235566351093137408,Sat Apr 21 11:48:25 +0000 2012,mabitxch,false,pls mute and turn off rts! (PLS DON’T SKIP THIS STEP),170688,8688,5386,17, 💖💜💙 🔶,Siti Zainab Abdullah (SZA),mabitxch,307984,,,false
,Fri Mar 20 14:29:58 +0000 2020,,,https://twitter.com/ASB_Breaking/status/1240110026418794502,242977,1241009089091600392,,,,en,,false,69013,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Bro China is out here reading niggas power levels and we cant even get adequate testing 🧐 https://t.co/3P3fuxdL1v,https://twitter.com/Deucedunkin/status/1241009089091600392,Fri May 19 06:18:06 +0000 2017,Deucedunkin,false,"| KJ💍| Dragon Ball Fanatic
| •400k Anime Youtuber | We miss you Roc ❤👼🙏🏾 | •Business Email: techstarr4k@gmail.com",13202,4935,388,6,Meteor City,Tech,Deucedunkin,9221,,http://www.youtube.com/c/TechStarr,false
,Sat Mar 21 16:38:04 +0000 2020,Covid19 coronavirus,https://twitter.com/protectheflames/status/1241403715036291072/video/1,,147181,1241403715036291072,,,,en,,false,56329,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",https://twitter.com/protectheflames/status/1241403715036291072,Thu Mar 25 14:20:50 +0000 2010,protectheflames,false,just nonsense,2468,6663,804,20,"London, England",🌈,protectheflames,29973,,,false
,Fri Mar 20 02:43:17 +0000 2020,,https://twitter.com/joshieyamaguchi/status/1240831248861474816/photo/1,,132832,1240831248861474816,,,,en,,false,39627,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",corona sis you leaving by may right? https://t.co/vwDdLhmAwz,https://twitter.com/joshieyamaguchi/status/1240831248861474816,Tue Nov 26 18:46:42 +0000 2019,joshieyamaguchi,false,,46978,3681,857,6,"New York, NY",may 30 🥳,joshieyamaguchi,61082,,http://Instagram.com/joshieyamaguchi,false
,Tue Mar 24 16:50:08 +0000 2020,,,https://twitter.com/Craig_A_Spencer/status/1242302400762908685,219040,1242493913337913345,,,,en,,false,41986,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Our medical professionals are heroes putting their lives on the line to keep our country going. Here's a look at how an ER doctor who already fought on the front lines of one crisis makes it through a day in this one. A good reminder for us to help them out by staying home. https://t.co/ah7vva9776,https://twitter.com/BarackObama/status/1242493913337913345,Mon Mar 05 22:08:25 +0000 2007,BarackObama,false,"Dad, husband, President, citizen.",0,129795012,591628,223083,"Washington, DC",Barack Obama,BarackObama,16194,,http://obamabook.com,true
,Mon Mar 23 07:12:37 +0000 2020,,https://twitter.com/Ahmed_Wann/status/1241986189437087744/photo/1,https://twitter.com/ikramarki/status/1241981664571478016,32331,1241986189437087744,,,,en,,false,44479,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",From this                      to this https://t.co/0zyb6LLZ0S https://t.co/DzPYqg6ile,https://twitter.com/ahmedwannn/status/1241986189437087744,Tue Sep 26 16:07:36 +0000 2017,ahmedwannn,false,Masih polos,1943,148,273,0,Bumi Manusia,Ahmd,ahmedwannn,3213,,,false
,Fri Mar 20 04:30:11 +0000 2020,,https://twitter.com/jacquelinees21/status/1240858151211028480/video/1,,43888,1240858151211028480,,,,en,,false,29350,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",People after the covid-19 quarantine  : https://t.co/8KDVUmc9Uw,https://twitter.com/jacquelinees21/status/1240858151211028480,Fri Jun 24 13:00:23 +0000 2016,jacquelinees21,false,@jacsomequeen || any beach will do,42806,1274,682,0,61720,jacqués,jacquelinees21,44054,,,false
,Fri Mar 20 00:27:42 +0000 2020,,https://twitter.com/OhGreatChoice/status/1240797127539920896/photo/1,https://twitter.com/fox5dc/status/1240666964827279367,118928,1240797127539920896,,,,en,,true,42783,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",But bitch y’all said— https://t.co/wN0j8ofnGQ https://t.co/QhBvs99XxI,https://twitter.com/OhGVibe/status/1240797127539920896,Wed Aug 12 14:53:56 +0000 2009,OhGVibe,false,"Caribbean Content Creator, YouTuber & Educator. Travel, Men’s Fashion, SkinCare & Culture Enthusiast ✨ 📧: info@ohgvibe.com",29786,3035,2668,7,Saint Lucia,ohg,OhGVibe,72991,,https://linktr.ee/Ohg,false
,Sat Mar 21 02:08:53 +0000 2020,COVID19,https://twitter.com/fema/status/1241184976974077953/photo/1,https://www.fema.gov/coronavirus-rumor-control,5560,1241184976974077953,,,,en,,false,4624,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","⚠ Due to the large amount of speculation regarding #COVID19, this is a reminder to rely on OFFICIAL sources for accurate information.

Help control the spread of rumors by sharing this page:  https://t.co/12GySEYYXV https://t.co/MJI3xTDpVs",https://twitter.com/fema/status/1241184976974077953,Thu Oct 09 16:54:20 +0000 2008,fema,false,"Our story of supporting citizens & first responders before, during, and after emergencies. For emergencies, call your local fire/EMS/police or 9-1-1.",3682,811860,740,10841,United States,FEMA,fema,24817,,http://www.fema.gov/,true
,Sat Mar 21 13:42:43 +0000 2020,,https://twitter.com/sofiarudyy/status/1241359584784044033/video/1,,69421,1241359584784044033,,,,en,,false,63401,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",day 6 of quarantine: my dad gave a talk to the cats about covid-19 😭😭😭😭😭😭😭😭 https://t.co/mLdFXzcE2P,https://twitter.com/sofiarudyy/status/1241359584784044033,Tue Oct 25 17:06:45 +0000 2016,sofiarudyy,false,— 𝗹𝗼𝘃𝗲𝗿 𝗼𝗳 𝗺𝗶𝗻𝗲 ♡,13692,0,0,2,hufflepuff common room,𝐬𝐨𝐟,sofiarudyy,11157,,,false
,Tue Mar 24 13:30:11 +0000 2020,,,https://twitter.com/SmokingSkills_/status/1242443203803922432,3157,1242443595673522177,,,,en,,false,1374,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","- Create a Fake account
- Tweet Fake news
- Pidi journalists will RT &amp; Quote RT
- Then the original pidi will Quote RT
- Create panic
- Say Sorry
- Deactivate the account

https://t.co/lxxeuIeIeH",https://twitter.com/Atheist_Krishna/status/1242443595673522177,Mon Mar 08 20:30:52 +0000 2010,Atheist_Krishna,false,"I photoshop pics for PUN. || Instagram: https://t.co/P3NDaE2Mma || T&Cs: https://t.co/ux3M6Zy2Vk || Check Out: @TheKrishnaPS
Retweets ≠ Endorsements",158313,375961,619,802,"Hyderabad, India",Krishna,Atheist_Krishna,39809,,https://www.instagram.com/thekrishnaps/,false
,Fri Mar 20 17:16:09 +0000 2020,,,,148158,1241050910085840903,,,,en,,,35970,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","After this is all over, please remember in future job interviews to ask them what their company did to protect their employees with regards to the global COVID-19 situation. Can't be risking working for wayward companies.",https://twitter.com/AdiBacelar/status/1241050910085840903,Sun Jan 04 07:55:03 +0000 2015,AdiBacelar,false,London based software engineer.,31496,604,1070,3,"London, UK",Adilson🇦🇴,AdiBacelar,30604,,,false
,Wed Mar 04 19:09:02 +0000 2020,,,,35530,1235281112684843009,,,,en,,,12418,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",the scariest thing about COVID-19 is that it looks like a JIRA ticket,https://twitter.com/mollywaggett/status/1235281112684843009,Mon Jun 09 19:19:58 +0000 2014,mollywaggett,false,senior software engineer @puppetize 👾 just trying to get my cat to snuggle me 🐈 black lives matter 🖤 she/her,8413,999,1258,6,"Portland, OR",Molly Waggett,mollywaggett,909,,https://www.instagram.com/eatmeow_/,false
,Fri Mar 06 04:01:59 +0000 2020,,https://twitter.com/Aisehman/status/1235777621604134914/photo/1,,4833,1235777621604134914,,,,en,,false,6292,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JUST GOT THIS: Personal statement by Hisham Hamdan, Covid-19 @ Case 26.

Read it. Eye-opening. https://t.co/cqUSUWoBEU",https://twitter.com/Aisehman/status/1235777621604134914,Fri Feb 13 09:24:25 +0000 2009,Aisehman,false,"This is gonna take a while. So sit back, relax and enjoy the show.",2,10015,493,164,🇲🇾,Aisehman,Aisehman,64395,,,false
,Sun Mar 22 12:13:21 +0000 2020,COVIDー19 coronavirus StayAtHome,,https://twitter.com/Rntk____/status/1241683664494137345/video/1,66171,1241699484469526531,,,,en,,false,47251,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Video of a hospital in Spain. Watch it. Watch it again with the volume up. 
Now cancel that brunch. 
Postpone that coffee meet-up. 
Rain check that dinner with friends. 
Sucks doesn’t it? But not as hard as this 👇
#COVIDー19 #coronavirus #StayAtHome

 https://t.co/LM9BnFQf3E",https://twitter.com/edleonklinger/status/1241699484469526531,Fri Mar 30 18:43:51 +0000 2012,edleonklinger,false,CEO @flockcover - smarter insurance for commercial drone & motor fleets. M.Eng (Oxford) / M.Phil (Cambridge),4217,6531,5102,114,"London, England",Ed Leon Klinger,edleonklinger,1902,,http://www.flockcover.com,false
,Sun Mar 01 22:33:16 +0000 2020,,https://twitter.com/techinsider/status/1231128764458897409/video/1,,382678,1234245348572487682,,,,en,,false,190319,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this is the BEST set of info I’ve found on corona virus and it’s worth watching the full 10mins https://t.co/oTNt5Cxg8j,https://twitter.com/GirlNamedMarley/status/1234245348572487682,Sun Nov 05 14:28:00 +0000 2017,GirlNamedMarley,false,Passionate futurist. Aspiring bee keeper. Founder of @WakeWithMarley. Here to rant and dream.,71159,7586,342,25,,MARLEY 💡,GirlNamedMarley,45306,,,false
,Fri Mar 20 17:21:35 +0000 2020,,,https://twitter.com/alifmegat/status/1240884565117263873,36276,1241052280452833281,,,,en,,false,31001,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",its always the comfortable spots hits 3G 🥺 https://t.co/2aJZnZRZsU,https://twitter.com/yuveeeeen/status/1241052280452833281,Mon Dec 31 11:48:48 +0000 2012,yuveeeeen,false,🇲🇾 | My header says it all🤷🏻‍♂️,29908,329,254,0,Fucked up land,yuveen🍁,yuveeeeen,7547,,https://www.instagram.com/yuveeeeen/?hl=en,false
,Sun Mar 22 03:25:53 +0000 2020,,,https://twitter.com/501Awani/status/1241564477281230849,24749,1241566743815913472,,,,en,,false,30589,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ya Allah, You already gave them huge test much more than us around the globe. If this is for their own good,  provide them strength to go through it. 💌 https://t.co/xAugLPHdKX",https://twitter.com/razeefizlan/status/1241566743815913472,Thu Dec 30 03:39:02 +0000 2010,razeefizlan,false,,1307,372,66,3,Malaysia,Razeef,razeefizlan,11488,,,false
,Fri Mar 06 05:14:57 +0000 2020,,,,25101,1235795983503630336,,,,en,,,2730,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",me washing my hands: [bye sharona voice] die corona,https://twitter.com/jaboukie/status/1235795983503630336,Sat Jun 18 18:14:55 +0000 2011,jaboukie,false,mgmt: ogerke@3arts.com,39856,885345,1301,1323,,giabuchi lastrassi,jaboukie,5553,,http://instagram.com/jaboukie,false
,Thu Mar 19 02:36:13 +0000 2020,,,https://twitter.com/layloserr/status/1240118516033953792,1410238,1240467080954228737,,,,en,,false,307314,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this is fucking bullshit https://t.co/lfLpuNg9GO,https://twitter.com/dochudson_/status/1240467080954228737,Tue Oct 15 04:34:24 +0000 2019,dochudson_,false,doc hudson,3,26106,16,16,doc hudson,doc hudson,dochudson_,715,,https://twitter.com/dochudson_/status/1243308810267176960?s=21,false
,Sun Mar 22 21:16:21 +0000 2020,,https://twitter.com/ReactionVideos_/status/1121038886082314241/video/1,,127950,1241836135195828225,,,,en,,false,23179,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",me to corona after finding out she infected harvey weinstein https://t.co/OQVMA6bHk7,https://twitter.com/jaceyrina/status/1241836135195828225,Sun Jul 22 03:47:57 +0000 2018,jaceyrina,false,"and i can fly, who gives a shit? @loversgaze",81601,2508,377,25,she/her | 21,kate,jaceyrina,13433,,https://boxd.it/Gc0n,false
,Fri Mar 06 13:00:00 +0000 2020,coronavirus,,,28369,1235913020469108737,,,,en,,,4390,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","I wish to express again my closeness to those who are ill with the #coronavirus and to healthcare workers who are caring for them, as well as to civil authorities and all those involved in assisting patients and in containing the spread of the virus.",https://twitter.com/Pontifex/status/1235913020469108737,Thu Feb 23 11:38:07 +0000 2012,Pontifex,false,Welcome to the official Twitter page of His Holiness Pope Francis,0,18842147,8,24104,Vatican City,Pope Francis,Pontifex,3277,,http://www.vaticannews.va,true
,Thu Mar 19 18:39:33 +0000 2020,,,https://twitter.com/husnazmn_/status/1240307914994102272,29598,1240709511226077186,,,,en,,false,34992,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Not all heroes wear capes, sometimes they just wear blanket then netflix n chill for 2 weeks https://t.co/RUFBTG7m1U",https://twitter.com/Azhad_san/status/1240709511226077186,Sun Apr 15 06:55:35 +0000 2018,Azhad_san,false,"The moon is beautiful, isn’t it?",2400,123,149,0,"Johore, Malaysia",¯\_(ツ)_/¯,Azhad_san,343,,,false
,Thu Mar 05 20:53:51 +0000 2020,,https://twitter.com/HelenaHalpern3/status/1235669879027576833/video/1,,7701,1235669879027576833,,,,en,,false,2132,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",It’s corona time https://t.co/DUYHFUcq7n,https://twitter.com/HelenaHalpern3/status/1235669879027576833,Sun Jun 03 18:10:46 +0000 2018,HelenaHalpern3,false,more issues than vogue.,786,146,99,0,,Helena Halpern,HelenaHalpern3,777,,,false
,Thu Mar 19 19:01:16 +0000 2020,coronavirus,https://twitter.com/_cesargamas/status/1240714976060248064/photo/1,,229512,1240714976060248064,,,,en,,false,42732,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wow...taken this morning....never seen Vegas this empty before tbh #coronavirus https://t.co/9YbvuimUX2,https://twitter.com/_cesargamas/status/1240714976060248064,Mon Jan 12 23:15:47 +0000 2015,_cesargamas,false,#dodgers,8894,851,733,1,"Las Vegas, NV",ceez,_cesargamas,2896,,,false
,Mon Mar 23 13:54:50 +0000 2020,coronavirus StayHomeStaySafe,https://twitter.com/TheSJTobin/status/1242087413868003333/video/1,,325908,1242087413868003333,,,,en,,false,46353,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up with this himself! I’m so impressed. #coronavirus #StayHomeStaySafe https://t.co/FFzJ1LE3N1,https://twitter.com/TheSJTobin/status/1242087413868003333,Thu Oct 14 20:21:20 +0000 2010,TheSJTobin,false,"Comit Communications PR, journalist, broadcaster, stresshead and extremely proud mum! 🥰 I love surprises! Retweets not an endorsement. #MOT",36037,7327,3433,36,"Dublin City, Ireland",Sarah-Jayne Tobin,TheSJTobin,22401,,,false
,Tue Mar 24 03:28:02 +0000 2020,coronavirus Dial100 TakingOnCorona,https://twitter.com/MumbaiPolice/status/1242292061925076997/photo/1,,5761,1242292061925076997,,,,en,,false,1968,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rumours are no less infectious than #coronavirus ! This looks like a meticulous list, but a fake one too! Please note that no such directions have been given by @CPMumbaiPolice . In case of any doubt, please #Dial100 or tweet to us! #TakingOnCorona https://t.co/EQcHWGa0rU",https://twitter.com/MumbaiPolice/status/1242292061925076997,Wed Dec 16 08:29:03 +0000 2015,MumbaiPolice,false,"Official account of Mumbai Police. For any emergency, Dial 100",3563,5074574,33,694,"Mumbai, India",Mumbai Police,MumbaiPolice,190583,,https://mumbaipolice.gov.in/,true
,Fri Mar 06 06:17:55 +0000 2020,,,,10691,1235811829751799810,,,,en,,,1786,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",The virus of communal hatred is deadlier than Corona virus!,https://twitter.com/UmarKhalidJNU/status/1235811829751799810,Fri Apr 15 21:52:57 +0000 2016,UmarKhalidJNU,false,Associated with United Against Hate. Aspiring Historian. Fiercely democratic,11615,736566,1057,413,,Umar Khalid,UmarKhalidJNU,4434,,https://www.facebook.com/UmarKhalidJNU/,false
,Thu Mar 05 20:27:44 +0000 2020,nurses COVID19,https://twitter.com/NNUBonnie/status/1235663306246860800/video/1,https://bit.ly/2PRgdbv,15285,1235663306246860800,,,,en,,false,10183,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",".@NationalNurses President Deborah Burger reads a public statement from one of our quarantined #nurses who works at a northern California Kaiser facility.

Full statement ➡️ https://t.co/YjTAvAXTRX
#COVID19 @WorksafeCA https://t.co/pSZ1ghCB2k",https://twitter.com/NNUBonnie/status/1235663306246860800,Mon Aug 31 22:13:09 +0000 2015,NNUBonnie,false,"Updates from the front lines of the #Covid19 crisis. #Latina, Registered #Nurse, and ED of @NationalNurses and @Calnurses. Named #TIME100. ✊🏽✊🏾✊🏿",10544,14546,3743,163,"Oakland, CA",Bonnie Castillo,NNUBonnie,8279,,https://medium.com/@NNUBonnie,false
,Thu Mar 19 19:08:52 +0000 2020,,,,623639,1240716889162018816,,,,en,,,148298,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Can y’all please just follow the government’s instructions so we can knock this COVID-19 out and be done?! I feel like a kindergartner that keeps losing more recess time because one or two kids can’t follow directions.,https://twitter.com/mrs_merica/status/1240716889162018816,Mon Jul 16 19:29:30 +0000 2012,mrs_merica,false,"Wife to a hero💍Mom of girls  👩‍👧‍👧👼👼 
🌹EDUCATED LATINA 🌹
        GLT ✈️ BILLS MAFIA 🏈",14551,2798,2899,18,"Texas, USA",Merica,mrs_merica,25381,,,false
,Fri Mar 20 04:35:11 +0000 2020,,,,202638,1240859409397547010,,,,en,,,34704,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Every Senator that did insider trading after that COVID-19 briefing should immediately resign.

Yes, that applies to both parties.",https://twitter.com/carterforva/status/1240859409397547010,Mon Feb 01 04:21:01 +0000 2016,carterforva,false,He/him.  Candidate for Governor of Virginia in 2021. Ask me about Socialism. #DadLife #AntiWar #Marine #veteran #Manassas,19839,112227,2073,579,"Manassas, VA",Lee J. Carter,carterforva,21921,,https://youtu.be/kyawBhkeQ68,false
