coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Fri Jul 24 12:44:01 +0000 2020,,,,17,1286643297402920960,senadormotoa,1286454150444843000,98734035,es,,,6,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@senadormotoa @MinSaludCol Equivocado de principio a fin , si hay un sitio en donde se ven resultados es acá, Creció mas que el promedio nacional en ucis , tiene una de las redes más amplias de laboratorios, logró establecer una curva menos abrupta en su crecimiento. Deje el sesgo que es ud inteligente",https://twitter.com/JorgeIvanOspina/status/1286643297402920960,Tue May 11 21:19:44 +0000 2010,JorgeIvanOspina,false,"Alcalde de Cali  ,Ex Senador, Médico, Ex Pdte del Partido Verde , creativo, agricultor, desarrollando la reserva Betania, construyendo una Colombia en Paz",1916,164945,661,384,"Cali, Colombia",Jorge Ivan Ospina,JorgeIvanOspina,28364,,http://www.jorgeivanospina.com,false
,Tue May 26 00:56:04 +0000 2020,,https://twitter.com/AC360/status/1265084253357907969/video/1,,216,1265084253357907969,,,,en,,false,66,,,"<a href=""http://www.snapstream.com"" rel=""nofollow"">SnapStream TV Search</a>","Ian Haydon, who is participating in a vaccine trial for coronavirus, says he feels “totally normal” after taking both doses of the vaccine but that his initial side effects from the highest dose included fever and nausea. https://t.co/q6kNQxa8xF",https://twitter.com/AC360/status/1265084253357907969,Fri Dec 17 23:37:19 +0000 2010,AC360,false,A behind the scenes look at Anderson Cooper 360°. Watch AC360° M-F at 8pm/ET on @CNN and follow Anderson on twitter: @AndersonCooper.,406,1689525,156,7286,"New York, NY",Anderson Cooper 360°,AC360,68452,,http://ac360.com,true
,Mon May 25 00:37:30 +0000 2020,,https://twitter.com/PMESP/status/1264717193482252288/video/1,,3876,1264717193482252288,,,,pt,,false,599,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MINUTO DE SIRENE 

Na tarde deste domingo (24), policiais militares de todo o Estado prestaram homenagem ao Soldado PM Lucas Alexandre Leite, que faleceu em serviço na noite anterior, em acidente de trânsito durante acompanhamento policial. https://t.co/dvt1SjjrpE",https://twitter.com/PMESP/status/1264717193482252288,Thu Aug 06 21:10:44 +0000 2009,PMESP,false,"https://t.co/dQhlTkJcow - Bem-vindo à página oficial da Polícia Militar do Estado de São Paulo! Em caso de crime, ligue 190 ou Disque-Denúncia 181.",5222,651134,130,777,São Paulo - Brasil,Polícia Militar do Estado de São Paulo,PMESP,27006,,http://www.policiamilitar.sp.gov.br,true
,Mon Jun 08 15:24:18 +0000 2020,COVID19,,https://www.pscp.tv/w/caz-IjI2MTAyMHwxQmRHWW5qV29kQUpYHvrpCrkovt4AqJw_f7Fyg8xxFkg5eEtoZLNQgKfE62A=,1218,1270013794366812160,,,,en,,false,505,,,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",Media briefing on #COVID19 with @DrTedros https://t.co/OpAU2fsxlR,https://twitter.com/WHO/status/1270013794366812160,Wed Apr 23 19:56:27 +0000 2008,WHO,false,"We are the #UnitedNations’ health agency - #HealthForAll.
▶️ Always check our latest tweets on #COVID19 for updated advice/information.",11748,9380818,1738,33718,"Geneva, Switzerland",World Health Organization (WHO),WHO,61862,,http://www.who.int,true
,Wed Jun 10 09:30:07 +0000 2020,Lockdown Fake FakeNews,,https://twitter.com/PIBFactCheck/status/1270641032909123585,1,1270649437111672838,,,,bn,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","দাবী: ছ'চিয়েল মিডিয়াত প্ৰচাৰ হৈ থকা এখন ফটো অনুসৰি গৃহ মন্ত্ৰালয়ৰ দ্বাৰা ৰে'ল আৰু বিমান যাত্ৰাৰ প্ৰতিবন্ধকতাৰ লগতে ১৫ জুনৰ পৰা দেশত পুনৰ সম্পূৰ্ণ #Lockdown ৰ প্ৰয়োগ কৰা হ'ব পাৰে।

@PIBFactCheck- এইটো #Fake ।
#FakeNews বিয়পাব পৰা এনে বিভ্ৰান্তিকৰ ফটোৰ পৰা সাৱধানে থাকিব। https://t.co/uWMTnNPMpO",https://twitter.com/PIB_Guwahati/status/1270649437111672838,Mon Feb 25 11:34:24 +0000 2013,PIB_Guwahati,false,"Official Twitter account of Press Information Bureau, Government of India, Guwahati, Assam.",483,12968,63,48,"Guwahati, India",PIB in Assam,PIB_Guwahati,27981,,http://pib.nic.in,true
,Mon Jun 08 08:05:05 +0000 2020,,,,777,1269903261689090058,,,,en,,,145,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","His Excellency @KagutaMuseveni will tomorrow, June 9th, preside over the National Heroes Day celebrations at State House Entebbe. The fete will be broadcast on all TVs/radios starting 9am. Tune in. @UCC_Official @nbstv @ntvuganda @ubctvuganda @Smart24TvUganda @KennethOmona",https://twitter.com/nyamadon/status/1269903261689090058,Sun Aug 22 10:04:52 +0000 2010,nyamadon,false,"Managing Director/Chief Executive Officer, Vision Group, Uganda.",11375,202013,957,100,Uganda,Don Wanyama,nyamadon,14099,,http://www.newvision.co.ug,true
,Tue Apr 21 02:16:11 +0000 2020,TelanganaFightsCorona,https://twitter.com/trspartyonline/status/1252420840957730816/photo/1,https://bit.ly/2wV5V3T,425,1252420840957730816,,,,en,,false,49,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gachibowli Sports Tower turns Covid hospital

The 14-storyed Sports Tower at the Gachibowli Stadium was left unused for more than a decade. Having been constructed in 2007 for the World Military Games....https://t.co/7UBjVQmrql
@TelanganaToday
#TelanganaFightsCorona https://t.co/hSQJ1Vx6Dw",https://twitter.com/trspartyonline/status/1252420840957730816,Thu Mar 06 10:51:29 +0000 2014,trspartyonline,false,"Telangana Rashtra Samithi is a registered political party in Telangana, India.",6269,582815,96,177,"Hyderabad, Telangana",TRS Party,trspartyonline,15678,,http://www.trspartyonline.org,true
,Wed May 27 02:54:36 +0000 2020,,,,502,1265476469909676034,Kanko_Jpn,1265476363999314000,2562488760,en,,,658,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",the Go to Travel Campaign under consideration by the Japanese government is to stimulate domestic travel demand within Japan after the Covid-19 pandemic and only cover a portion of domestic travel expenses.（２／２）,https://twitter.com/Kanko_Jpn/status/1265476469909676034,Thu Jun 12 02:31:03 +0000 2014,Kanko_Jpn,false,観光庁公式アカウントです。#観光庁 ホームページの新着情報を中心に、 国民の皆さまに #観光 に関する様々な情報を発信していきます。 東京都千代田区 · https://t.co/CSSm3dTVwc,60,94451,109,1476,,観光庁（Japan Tourism Agency）,Kanko_Jpn,3491,,,true
,Fri Apr 24 19:04:33 +0000 2020,,,,617,1253761766787555335,sbauerAP,1253761137004490800,28635386,en,,,210,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Protesters at state Capitol are chanting ""Where's our flag?"" and pointing to the Capitol, saying it's a ""disgrace"" there is no flag

The American flag flies on the other side of the building from where they are rallying",https://twitter.com/sbauerAP/status/1253761766787555335,Fri Apr 03 19:40:20 +0000 2009,sbauerAP,false,Politics. Wisconsin. Music. Not always in that order. Associated Press Statehouse correspondent based in Madison.,915,27256,4769,879,"Madison, Wisconsin",Scott Bauer,sbauerAP,34753,,https://apnews.com/,true
,Wed Mar 11 16:26:53 +0000 2020,COVID19 coronavirus,https://twitter.com/WHO/status/1237777021742338049/photo/1,,54824,1237777021742338049,WHO,1237776967526764500,14499829,en,,false,53440,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","🚨 BREAKING 🚨

""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""-@DrTedros #coronavirus https://t.co/JqdsM2051A",https://twitter.com/WHO/status/1237777021742338049,Wed Apr 23 19:56:27 +0000 2008,WHO,false,"We are the #UnitedNations’ health agency - #HealthForAll.
▶️ Always check our latest tweets on #COVID19 for updated advice/information.",11748,9380818,1738,33718,"Geneva, Switzerland",World Health Organization (WHO),WHO,61862,,http://www.who.int,true
