coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Apr 02 23:57:56 +0000 2020,,,https://twitter.com/atrupar/status/1245852517474295809?s=21,48784,1245863066270490624,,,,en,,false,14897,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The website for the federal stockpile literally says it’s for states to use when they need it https://t.co/lzWx7H6RMQ,https://twitter.com/LEBassett/status/1245863066270490624,Sun Sep 27 22:35:52 +0000 2009,LEBassett,false,freelance politics writer / columnist @msnbc / born on the bayou / once described as a “sharp-tongued lass”,24201,108030,2030,1309,"Brooklyn, NY",Laura Bassett,LEBassett,26652,,https://www.lebassett.com/,true
,Mon Feb 24 21:15:06 +0000 2020,,,,12283,1232051346796371968,JuddLegum,1232050502025781200,15464697,en,,,4181,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2. Trump also cut funding for the CDC, forcing the CDC to cancel its efforts to help countries prevent infectious-disease threats from becoming epidemics in 39 of 49 countries in 2018.

Among the countries abandoned? China.",https://twitter.com/JuddLegum/status/1232051346796371968,Thu Jul 17 05:37:26 +0000 2008,JuddLegum,false,"I write Popular Information, a newsletter about politics and power. 

Send tips: DMs open | judd@popular.info |  jlegum@protonmail.com",4927,499524,1350,6231,"Washington, DC",Judd Legum,JuddLegum,63969,,http://Popular.info,true
,Mon Feb 24 21:11:44 +0000 2020,,,,74719,1232050502025781257,,,,en,,,29788,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","1. With the coronavirus killing thousands and threatening to tank the global economy, I feel like more people should be talking about the fact that Trump fired the entire pandemic response team two years ago and then didn't replace them",https://twitter.com/JuddLegum/status/1232050502025781257,Thu Jul 17 05:37:26 +0000 2008,JuddLegum,false,"I write Popular Information, a newsletter about politics and power. 

Send tips: DMs open | judd@popular.info |  jlegum@protonmail.com",4927,499524,1350,6231,"Washington, DC",Judd Legum,JuddLegum,63969,,http://Popular.info,true
,Wed Mar 18 22:43:11 +0000 2020,Covid19,https://twitter.com/ViralRNA/status/1240408437516877824/photo/1,,1243,1240408437516877824,,,,en,,false,966,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","My blood has frozen in my veins. The air has been punched out of my lungs. 

Italian Army transports ~60 bodies from overwhelmed Bergamo to Modena and Bologna for cremation. 

#Covid19 https://t.co/7iGc5VtuRC",https://twitter.com/ViralRNA/status/1240408437516877824,Sat Feb 02 20:14:16 +0000 2013,ViralRNA,false,Virologist and Lecturer in Global Health @StGeorgesUni,20004,9118,1551,315,,EG,ViralRNA,6501,,https://www.sgul.ac.uk/profiles/elisabetta-groppelli,false
,Wed Mar 18 20:40:48 +0000 2020,,https://twitter.com/IafrateEugenio/status/1240377636083433478/video/1,,15,1240377636083433478,,,,it,,false,7,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Bergamo questa sera. Camion dell’esercito per trasportare bare. https://t.co/YryHjVXaza,https://twitter.com/IafrateEugenio/status/1240377636083433478,Mon Mar 12 08:06:27 +0000 2012,IafrateEugenio,false,,108,40,64,0,Roma,Eugenio Iafrate,IafrateEugenio,83,,http://www.deportati4gennaio1944.it,false
,Thu May 21 16:59:39 +0000 2020,,,,23329,1263514808109989890,,,,en,,,2430,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Trump says he tested ""very positively"" for covid-19 this morning, meaning negative.",https://twitter.com/feliciasonmez/status/1263514808109989890,Mon Apr 26 21:00:16 +0000 2010,feliciasonmez,false,Washington Post national political reporter. Previously @wsj and @afp in Beijing.,34401,95602,12853,2124,"Washington, DC",Felicia Sonmez,feliciasonmez,50409,,https://www.washingtonpost.com/people/felicia-sonmez/,true
,Tue May 05 22:01:27 +0000 2020,,https://twitter.com/WhiteHouse/status/1257792550456483845/video/1,,3088,1257792550456483845,,,,en,,false,546,,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",.@honeywell makes America proud! https://t.co/l2YFM8Rx2L,https://twitter.com/WhiteHouse45/status/1257792550456483845,Thu Jan 19 22:54:27 +0000 2017,WhiteHouse45,false,"This is an archive of a Trump Administration account, maintained by the National Archives and Records Administration.",19,26046260,11,18256,"Washington, D.C.",The White House 45 Archived,WhiteHouse45,24107,,http://TrumpLibrary.gov,true
,Mon Mar 30 21:47:11 +0000 2020,,https://twitter.com/EmpireStateBldg/status/1244742999059369993/photo/1,,12169,1244742999059369993,,,,en,,false,3784,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","[1/2] We’ll never stop shining for you. 

Starting tonight through the COVID-19 battle, our signature white lights will be replaced by the heartbeat of America with a white and red siren in the mast for heroic emergency workers on the front line of the fight. https://t.co/OYkblLTRHN",https://twitter.com/EmpireStateBldg/status/1244742999059369993,Mon Mar 15 16:19:48 +0000 2010,EmpireStateBldg,false,"Official account of the World’s Most Famous Building. OPEN: Mon-Thu 1PM-10PM & Fri-Sun 12PM-12AM! 102 stories & 1,454 ft above NYC. Tweet ESB pics with #ESBFan!",83395,189895,447,1386,"20 West 34th St New York, NY",Empire State Building,EmpireStateBldg,19339,,http://www.empirestatebuilding.com/,true
,Tue Apr 14 23:16:26 +0000 2020,,https://twitter.com/atrupar/status/1250201276412985344/video/1,,3211,1250201276412985344,atrupar,1250200576710848500,288277167,en,,false,1014,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@kaitlancollins: You're criticizing the WHO for praising China's transparency. You did the same thing

TRUMP: I don't talk about China's transparency

C: You did in a tweet in January

TRUMP: If I'm so good to China, how come I'm the one that closed our borders against China? https://t.co/CV5ag6nxyC",https://twitter.com/atrupar/status/1250201276412985344,Tue Apr 26 15:22:47 +0000 2011,atrupar,false,journalist @voxdotcom,151854,679965,998,5867,,Aaron Rupar,atrupar,93245,,http://vox.com,true
,Mon Mar 30 21:05:36 +0000 2020,,,,165295,1244732533943799809,,,,en,,,46959,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Trump, you incompetent idiot! You sent 18 tons of PPE to China early but ignored warnings &amp; called COVID19 concerns a hoax. You've endangered doctors, nurses, aids, orderlies, &amp; janitors - all risking their lives to save ours. Pray 4 forgiveness for the harm that you're causing!",https://twitter.com/RepMaxineWaters/status/1244732533943799809,Thu Apr 30 15:17:45 +0000 2009,RepMaxineWaters,false,Proudly serving the people of California's 43rd District in Congress. Chairwoman of the House Financial Services Committee (@FSCDems).,1328,1670828,691,7342,"Los Angeles/Washington, D.C.",Maxine Waters,RepMaxineWaters,3356,,http://waters.house.gov,true
