coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Fri Jul 24 12:44:01 +0000 2020,,,,17,1286643297402920960,senadormotoa,1286454150444843000,98734035,es,,,6,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@senadormotoa @MinSaludCol Equivocado de principio a fin , si hay un sitio en donde se ven resultados es acá, Creció mas que el promedio nacional en ucis , tiene una de las redes más amplias de laboratorios, logró establecer una curva menos abrupta en su crecimiento. Deje el sesgo que es ud inteligente",https://twitter.com/JorgeIvanOspina/status/1286643297402920960,Tue May 11 21:19:44 +0000 2010,JorgeIvanOspina,false,"Alcalde de Cali  ,Ex Senador, Médico, Ex Pdte del Partido Verde , creativo, agricultor, desarrollando la reserva Betania, construyendo una Colombia en Paz",1916,165073,661,385,"Cali, Colombia",Jorge Ivan Ospina,JorgeIvanOspina,28365,,http://www.jorgeivanospina.com,false
,Mon May 25 00:37:30 +0000 2020,,https://twitter.com/PMESP/status/1264717193482252288/video/1,,3877,1264717193482252288,,,,pt,,false,596,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MINUTO DE SIRENE 

Na tarde deste domingo (24), policiais militares de todo o Estado prestaram homenagem ao Soldado PM Lucas Alexandre Leite, que faleceu em serviço na noite anterior, em acidente de trânsito durante acompanhamento policial. https://t.co/dvt1SjjrpE",https://twitter.com/PMESP/status/1264717193482252288,Thu Aug 06 21:10:44 +0000 2009,PMESP,false,"https://t.co/dQhlTkJcow - Bem-vindo à página oficial da Polícia Militar do Estado de São Paulo! Em caso de crime, ligue 190 ou Disque-Denúncia 181.",5222,651015,130,777,São Paulo - Brasil,Polícia Militar do Estado de São Paulo,PMESP,27010,,http://www.policiamilitar.sp.gov.br,true
,Wed Jun 10 09:30:07 +0000 2020,Lockdown Fake FakeNews,,https://twitter.com/PIBFactCheck/status/1270641032909123585,1,1270649437111672838,,,,bn,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","দাবী: ছ'চিয়েল মিডিয়াত প্ৰচাৰ হৈ থকা এখন ফটো অনুসৰি গৃহ মন্ত্ৰালয়ৰ দ্বাৰা ৰে'ল আৰু বিমান যাত্ৰাৰ প্ৰতিবন্ধকতাৰ লগতে ১৫ জুনৰ পৰা দেশত পুনৰ সম্পূৰ্ণ #Lockdown ৰ প্ৰয়োগ কৰা হ'ব পাৰে।

@PIBFactCheck- এইটো #Fake ।
#FakeNews বিয়পাব পৰা এনে বিভ্ৰান্তিকৰ ফটোৰ পৰা সাৱধানে থাকিব। https://t.co/uWMTnNPMpO",https://twitter.com/PIB_Guwahati/status/1270649437111672838,Mon Feb 25 11:34:24 +0000 2013,PIB_Guwahati,false,"Official Twitter account of Press Information Bureau, Government of India, Guwahati, Assam.",483,13022,63,49,"Guwahati, India",PIB in Assam,PIB_Guwahati,28031,,http://pib.nic.in,true
,Mon Jun 08 08:05:05 +0000 2020,,,,777,1269903261689090058,,,,en,,,145,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","His Excellency @KagutaMuseveni will tomorrow, June 9th, preside over the National Heroes Day celebrations at State House Entebbe. The fete will be broadcast on all TVs/radios starting 9am. Tune in. @UCC_Official @nbstv @ntvuganda @ubctvuganda @Smart24TvUganda @KennethOmona",https://twitter.com/nyamadon/status/1269903261689090058,Sun Aug 22 10:04:52 +0000 2010,nyamadon,false,"Managing Director/Chief Executive Officer, Vision Group, Uganda.",11380,202191,957,100,Uganda,Don Wanyama,nyamadon,14104,,http://www.newvision.co.ug,true
,Tue Apr 21 02:16:11 +0000 2020,TelanganaFightsCorona,https://twitter.com/trspartyonline/status/1252420840957730816/photo/1,https://bit.ly/2wV5V3T,425,1252420840957730816,,,,en,,false,49,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gachibowli Sports Tower turns Covid hospital

The 14-storyed Sports Tower at the Gachibowli Stadium was left unused for more than a decade. Having been constructed in 2007 for the World Military Games....https://t.co/7UBjVQmrql
@TelanganaToday
#TelanganaFightsCorona https://t.co/hSQJ1Vx6Dw",https://twitter.com/trspartyonline/status/1252420840957730816,Thu Mar 06 10:51:29 +0000 2014,trspartyonline,false,"Telangana Rashtra Samithi is a registered political party in Telangana, India.",6269,583207,96,176,"Hyderabad, Telangana",TRS Party,trspartyonline,15678,,http://www.trspartyonline.org,true
,Fri Apr 24 19:04:33 +0000 2020,,,,617,1253761766787555335,sbauerAP,1253761137004490800,28635386,en,,,210,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Protesters at state Capitol are chanting ""Where's our flag?"" and pointing to the Capitol, saying it's a ""disgrace"" there is no flag

The American flag flies on the other side of the building from where they are rallying",https://twitter.com/sbauerAP/status/1253761766787555335,Fri Apr 03 19:40:20 +0000 2009,sbauerAP,false,Politics. Wisconsin. Music. Not always in that order. Associated Press Statehouse correspondent based in Madison.,917,27244,4768,877,"Madison, Wisconsin",Scott Bauer,sbauerAP,34778,,https://apnews.com/,true
,Mon Jun 08 19:53:19 +0000 2020,COVID19,,https://www.who.int/publications/i/item/advice-on-the-use-of-masks-in-the-community-during-home-care-and-in-healthcare-settings-in-the-context-of-the-novel-coronavirus-(2019-ncov)-outbreak,644,1270081492908216320,,,,en,,false,308,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1/2

@WHO recently published a summary of transmission of #COVID19, incl. symptomatic, pre-symptomatic and asymptomatic transmission

See page 2 of👇
https://t.co/2OJ2pLT5Iu

In this summary, we state: ""Comprehensive studies...",https://twitter.com/mvankerkhove/status/1270081492908216320,Tue Nov 12 22:07:25 +0000 2013,mvankerkhove,false,"Infectious Disease Epidemiologist; COVID-19 Technical Lead @WHO, WHO Health Emergencies Programme. Mother of 2. Opinions are my own",6249,57453,582,1211,"Geneva, Switzerland",Maria Van Kerkhove,mvankerkhove,3534,,http://who.int,true
,Tue May 26 18:11:28 +0000 2020,Burundi Kenya Bujumbura Burundi,,,26,1265344818957484039,,,,fr,,,10,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","⭕️ Le ministre de la santé du #Burundi est rentré après une hospitalisation au #Kenya. Il est arrivé à #Bujumbura vers 17h. Comme à son départ, il n'a pas été enregistré comme passager d’un vol. Son chauffeur l’a retrouvé sur le tarmac de l’aéroport #Burundi 🇧🇮",https://twitter.com/SOSMediasBDI/status/1265344818957484039,Sun May 17 11:59:28 +0000 2015,SOSMediasBDI,false,"#Burundi 🇧🇮, 13-14/05/2015 : le pluralisme des médias vole en éclat / Depuis, nous résistons ! 📝📲 #BurundiCrisis #presse #FreePress",487,57845,357,177,Bujumbura ,SOS Médias Burundi,SOSMediasBDI,11487,,http://sosmediasburundi.org,false
,Wed May 20 09:08:20 +0000 2020,COVID19,https://twitter.com/WHOAFRO/status/1263033806132568065/photo/1,https://arcg.is/XvuSX,128,1263033806132568065,,,,en,,false,91,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Over 90,000 confirmed #COVID19 cases on the African continent - with more than 35,000 recoveries &amp; 2,885 deaths. View country figures &amp; more with the WHO African Region COVID-19 Dashboard: https://t.co/V0fkK8dYTg https://t.co/9qgRXDc1Wz",https://twitter.com/WHOAFRO/status/1263033806132568065,Tue Apr 03 14:18:21 +0000 2012,WHOAFRO,false,Official twitter account for the World Health Organization Regional Office for Africa - WHO/AFRO,5951,238260,610,971,"Brazzaville, Congo",WHO African Region,WHOAFRO,12138,,http://www.afro.who.int,true
,Mon Jun 08 19:53:19 +0000 2020,,,,507,1270081494552281094,mvankerkhove,1270081492908216300,2178775035,en,,,215,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","2/2 ... on transmission from asymptomatic individuals are difficult to conduct, but the available evidence from contact tracing reported by Member States suggests that asymptomatically-infected individuals are much less likely to transmit the virus than those who develop symptoms",https://twitter.com/mvankerkhove/status/1270081494552281094,Tue Nov 12 22:07:25 +0000 2013,mvankerkhove,false,"Infectious Disease Epidemiologist; COVID-19 Technical Lead @WHO, WHO Health Emergencies Programme. Mother of 2. Opinions are my own",6249,57453,582,1211,"Geneva, Switzerland",Maria Van Kerkhove,mvankerkhove,3534,,http://who.int,true
