coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Aug 05 22:29:22 +0000 2020,,,,0,1291139259529744384,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","July 31 at 8:40 AM
Your post didn't follow our Community Standards
Bill Zimmer
July 30 at 12:58 PM ·
Shared with Public

The cure for COVID-19: Hydroxychloroquine, Zinc,
Azithromycin, and a Presidential election
30 days in FB jail for this post!",https://twitter.com/Seattle_Zim/status/1291139259529744384,Sun Jan 24 22:37:03 +0000 2010,Seattle_Zim,false,M,354,18,133,1,Pacific Northwest USA,Bill Zimmer,Seattle_Zim,1426,,,false
,Tue Aug 11 05:24:34 +0000 2020,,,,93,1293055689078853632,,,,en,"Jarrettsville, MD",,39,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I am a board certified internist with sub specialist training in hematology and oncology. I am a Yale University graduate. I am asking for you to sign a petition to promote early usage of hydroxychloroquine and zinc with azithromycin to cure COVID-19.,https://twitter.com/EOrioledh/status/1293055689078853632,Wed Aug 07 11:38:19 +0000 2013,EOrioledh,false,,27023,1079,458,4,,michael e klein,EOrioledh,25807,,,false
,Tue Jul 28 10:03:22 +0000 2020,Hydroxychloroquine zinc Azithromycin,,,0,1288052419285274627,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#Hydroxychloroquine #zinc #Azithromycin are the cure to covid 19. We don’t need a vaccine. Thousands upon thousands  have been treated with this method and they are all okay. THE FDA IS LYING. FAUCI IS LYING. BILL GATES IS LYING.,https://twitter.com/cycle_money/status/1288052419285274627,Thu Nov 29 06:27:39 +0000 2018,cycle_money,false,,789,122,311,1,USA,MoneyMaker,cycle_money,3202,,,false
,Wed Jul 29 11:39:19 +0000 2020,,,,0,1288438953666740224,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Maybe hydroxychloroquine (a medication for malaria and arthritis), zinc and azithromycin can be a cure for COVID-19.",https://twitter.com/BanzaeKristine/status/1288438953666740224,Wed Apr 29 08:45:46 +0000 2020,BanzaeKristine,false,"19 || 🇵🇭 🇪🇸 PADAYON! PTRP! 💕Psalm 94:19 || When anxiety was great within me, your consolation brought me joy.",9500,2027,1771,1,,𝓚𝓻𝓲𝓼𝓽𝓲𝓷𝓮 𝓖.,BanzaeKristine,435,,https://www.instagram.com/zae_maldita/,false
,Mon Jul 27 22:32:29 +0000 2020,trumpwasright,,,4,1287878555414585345,,,,en,,,2,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","""One physician from Texas says “we have a cure to COVID-19, it’s hydroxychloroquine, azithromycin and zinc.”
#trumpwasright",https://twitter.com/alexispadron6/status/1287878555414585345,Mon Sep 10 18:30:07 +0000 2012,alexispadron6,false,"you don't need more time, you need more focus. 📸insta: alexisintexas6",6061,239,168,4,Lone star state ,AEP✞,alexispadron6,13372,,,false
,Wed Jul 29 02:54:48 +0000 2020,,,,0,1288306955220484100,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Hydroxychloroquine 200 mg 2 X day for 5 days. 10 pills $10 copay Zinc sulfate 220 mg once a day for 5 days. 5 pills less than $10 Azithromycin 500 mg once a day for 5 days. 5 pills $10 copay 
cure/prophylactic for COVID-19 = $30
Freedom = priceless It's about power and money!",https://twitter.com/AbrahamJMedina1/status/1288306955220484100,Wed Nov 13 15:11:49 +0000 2019,AbrahamJMedina1,false,"Christian, Husband, Father, Son, Brother, and American.",65,3,33,0,USA ,Abraham Medina,AbrahamJMedina1,54,,,false
,Tue Jul 28 01:51:25 +0000 2020,,,,0,1287928617146765312,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WOW: Physicians have gathered in Washington DC to let the American people know there ARE effective treatment options available for COVID-19.

One physician from Texas says “we have a cure to COVID-19, it’s hydroxychloroquine, azithromycin and zinc.”",https://twitter.com/ToddsWheels/status/1287928617146765312,Wed May 25 01:51:54 +0000 2011,ToddsWheels,false,Just Me. Retro Pic!!! I’m not here for a dating site. Do not message me unless you know me. You WILL be blocked,41890,392,1747,1,"Indiana, USA",Ross,ToddsWheels,12806,,,false
,Tue Jul 28 21:51:03 +0000 2020,,,,3,1288230513459814406,,,,en,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hydroxychloroquine, Azithromycin, and Zinc is the cure for Covid-19. Any Doctor withholding this treatment will be complicit and wait till the class action law suits happen. I hope losing your license is worth your hatred for Trump.",https://twitter.com/Alley82555578/status/1288230513459814406,Thu Dec 19 21:58:20 +0000 2019,Alley82555578,false,"I mind my own business, you should try it sometime.#MAGA #cue-anon🇺🇸 Parler: @Alleyluyah *No DMs*",53326,590,856,0,"Arizona and L.A, USA",AlleyQuah🧐,Alley82555578,36939,,,false
,Wed Aug 19 23:57:02 +0000 2020,,,,5,1296234752463245313,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Hydroxychloroquine is why Uganda, with a population of 43M, has only (15) COVID-19 deaths. Uganda, a country in east-central Africa, has a population of 42.729 million, which is 13% of the US’ population of 328.239 million in 2019 @GovMurphy has been EXAGGERATING the covid deaths",https://twitter.com/GlenBrito2/status/1296234752463245313,Wed Jun 10 13:16:11 +0000 2020,GlenBrito2,false,Time to expose the fraud of COMMUNIST Democrats once and for all.,4736,542,1033,1,,Glen Brito,GlenBrito2,8184,,,false
,Thu Aug 20 23:23:17 +0000 2020,,,,1,1296588646552932352,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Hydroxychloroquine is why Uganda, with a population of 43M, has only 15 COVID-19 deaths",https://twitter.com/PHIL16663679/status/1296588646552932352,Thu May 07 06:06:11 +0000 2020,PHIL16663679,false,,16303,380,667,0,,PHIL thinker and apply logic.truth searcher.,PHIL16663679,19222,,,false
,Thu Jul 30 04:37:27 +0000 2020,,,,1,1288695178237272065,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Masks may not help completely but they can slow the spread for COVID-19 and should be worn. According to many physicians, hydroxychloroquine is not the cure, however along with the antibiotic azithromycin and zinc with the correct dosage has helped many people recover.",https://twitter.com/trevorweissman/status/1288695178237272065,Mon Dec 01 11:54:17 +0000 2014,trevorweissman,false,Wisdom-filled Christian/Conservative Apologist | Proverbs 3:5-6 Trust in the LORD with all your heart | Defender of Traditional Conservative Values,16195,863,730,1,"Texas, USA",Trevor Weissman,trevorweissman,6489,,,false
,Thu Jul 30 22:07:05 +0000 2020,,,,0,1288959325981966337,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Hydroxychloroquine, Zinc, and Azithromycin are the cure for Covid-19.
More cures include:
Vitamin C
Quercitin, &amp; Zinc.
As well as ozonated saline chased with IVC &amp; Glutathione
Thank you Dr. Suzanne Humphries for this information.",https://twitter.com/unknownel3ment/status/1288959325981966337,Fri Apr 06 19:13:42 +0000 2018,unknownel3ment,false,Music Producer/DJ from New York.    Phunk Traxx | Natura Viva Black | Forge Records | I AM DIFFERENT | Reflekt Records,347,45,288,0,"Floral Park, NY",Kevin Micheal,unknownel3ment,296,,,false
,Wed Jul 29 05:31:41 +0000 2020,WhiteCoatSummit,,,2,1288346438317948930,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WOW: Physicians have gathered in Washington DC to let the American people know there ARE effective treatment options available for COVID-19.

One physician from Texas says “we have a cure to COVID-19, it’s hydroxychloroquine, azithromycin and zinc.”

#WhiteCoatSummit",https://twitter.com/forTrump01/status/1288346438317948930,Mon Mar 05 04:55:01 +0000 2018,forTrump01,false,MAGA !,71651,3107,1075,10,,秋歌,forTrump01,72943,,,false
,Tue Jul 28 00:36:04 +0000 2020,,,,0,1287909653326766082,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Interesting! - Of 352 patients with COVID-19, all recovered and none died. They say we have the cure. Hydroxychloroquine before you get it, and Hydroxy and Zinc and Azithromycin to treat it if you get it. Of course, it has to be the correct dosages. 15 yr old study proves it.",https://twitter.com/MagGenerator1/status/1287909653326766082,Mon May 08 22:17:27 +0000 2017,MagGenerator1,false,"Currently working on patent documents for my point of use Alternative Energy Machine. Doesn't require fossil fuels, sun or wind; eliminates the electrical grid.",16900,806,1974,2,"Anderson, IN",Who's Who,MagGenerator1,25745,,,false
,Wed Jul 29 21:34:45 +0000 2020,WhiteCoatSummit,,,2,1288588802349363200,,,,en,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WOW: Physicians have gathered in Whashington DC to let the American people know there ARE effective treatment options for COVID-19. One physician from Texas says “we have a cure for COVID-19, it’s hydroxychloroquine, azithromycin and zinc.” #WhiteCoatSummit",https://twitter.com/jswheeles/status/1288588802349363200,Mon Jan 19 03:45:53 +0000 2015,jswheeles,false,,3116,61,49,0,,SimpleMan,jswheeles,772,,,false
,Tue Jul 28 00:48:55 +0000 2020,,,,8,1287912887705653248,,,,en,,,2,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","One physician from Texas says “we have a cure to COVID-19, it’s hydroxychloroquine, azithromycin and zinc.”",https://twitter.com/40yearsyoung1/status/1287912887705653248,Mon Aug 05 18:39:56 +0000 2019,40yearsyoung1,false,"I provide fitness, wellness & anti-aging advice to anyone who will listen. All for the common good. *Tweets not intended to be a substitute for medical advice.",12557,1163,3117,2,"Muscle Beach, CA",RED_PILL_FITNESS,40yearsyoung1,20022,,,false
,Mon Aug 31 04:04:06 +0000 2020,,,,0,1300283193250246658,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","This week the CDC quietly updated the COVID-19 number to admit that only 6% of all the 153,504 deaths recorded actually died from (only) COVID-19. That's 9,210 deaths. The other 94% had 2-3 other serious illnesses &amp; the overwhelming majority were of advanced age.",https://twitter.com/DeeAnn723/status/1300283193250246658,Sun May 01 00:50:03 +0000 2016,DeeAnn723,false,Just a homemaker and a mom of 2 grown boys !!,71,1,24,0,,DeeAnn Tindell,DeeAnn723,59,,,false
,Sun Aug 30 21:42:12 +0000 2020,CDC Covid COVID True,,,1,1300187087421886464,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Is this true??

The #CDC quietly updated the #Covid number to admit that only 6% of all the 153,504 deaths recorded actually died from #COVID-19 .  

153,504 x .06  = 9,210 deaths.  

Is this #True?!?",https://twitter.com/thescootermcgee/status/1300187087421886464,Mon Sep 01 05:17:14 +0000 2008,thescootermcgee,false,"Satirist, Humorist, Comedian, Actor, & Private Investigator, Security Consultant, N.R.A. Instructor & R.S.O. Colorado C.H.P. instructor- “retired” Broadcaster.",644,359,366,11,"Denver, Colorado. U.S.A.",Scooter McGee,thescootermcgee,10186,,http://www.scootermcgee.com,false
,Tue Jul 28 11:10:41 +0000 2020,,,,0,1288069362390315008,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","There is a cure for covid-19.the China virus it's called hydroxychloroquine, and zinc in combination with either azithromycin or doxycycline",https://twitter.com/JWM38814880/status/1288069362390315008,Sat Nov 19 17:53:53 +0000 2016,JWM38814880,false,RollTide#17N2017,10902,85,224,0,"Florence, AL",Waylon M.,JWM38814880,7162,,,false
,Sun Aug 02 23:50:17 +0000 2020,,,,8,1290072458129584129,,,,en,,,5,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Out of curiosity 

Would you take a vaccine with 33% death rate to feel safe from a virus with 0.06% death rate?

Asking for a friend",https://twitter.com/striga1/status/1290072458129584129,Sun Dec 20 23:41:30 +0000 2009,striga1,false,"conservative, Christian, patriot...enough to trigger snowflakes...🙏🏻❤️ https://t.co/wZ2wksBoRB",2148,99,227,2,"England, United Kingdom",Radar,striga1,2695,,,false
