coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Sep 16 19:51:51 +0000 2020,COVIDー19 COVID19,,,0,1306319911019360256,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Republicans don't want to get a COvid-19 vaccine because they think the virus is fake, Democrats don't want one because they think Trump is fake. Which wins the stupidity award? Is there a vaccine for that? If only #COVIDー19 #COVID19",https://twitter.com/ronnieruff/status/1306319911019360256,Sun Apr 13 15:49:23 +0000 2008,ronnieruff,false,Kōsmïç Desert Dashboard,2087,196,130,7,"Joshua Tree, CA",Cosmic Cowboy,ronnieruff,12773,,http://cosmicrancmusic.com,false
,Tue Sep 29 06:07:12 +0000 2020,KomeshaCorona,,,3,1310823421014573056,,,,en,,,2,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Vitamin and mineral supplements cannot cure COVID-19. #KomeshaCorona,https://twitter.com/LucyChegeM/status/1310823421014573056,Wed Jul 26 14:13:30 +0000 2017,LucyChegeM,false,"Founder of Nutrition Therapy by Lucy. A registered nutritionist licensed and based in Kenya, proficient in medical nutrition therapy.
📲 : 0704 770 078",6721,55257,51633,49,"Nairobi, Kenya",Nutritionist Lucy Chege,LucyChegeM,14778,,https://www.instagram.com/lucychegem/,false
,Thu Oct 01 08:13:26 +0000 2020,vaccine Covid_19 JustAsking,,,0,1311579964899123201,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Lot of outrage about the way vaccines are researched, tested and will be manufactured by various pharma companies and nations. Is there a list for people to sign up saying 'I will not get vaccinated if this #vaccine has been produced like this'? #Covid_19 #JustAsking",https://twitter.com/PradeepHardikar/status/1311579964899123201,Thu Jul 05 11:18:41 +0000 2012,PradeepHardikar,false,"BizTech Consultant, SciFi Fan and a budding photographer!",10856,325,209,9,Pune,Pradeep Hardikar,PradeepHardikar,15641,,,false
,Sun Oct 04 12:54:42 +0000 2020,,,,458,1312737912543481856,,,,en,,,12,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Is there a chance we never get a vaccine for COVID-19?,https://twitter.com/RampCapitalLLC/status/1312737912543481856,Mon Nov 25 20:40:36 +0000 2013,RampCapitalLLC,false,"Kind of a VC, never been acquired. $WERAMP for the kids. Follow the People’s Portfolio https://t.co/fVsYQTlp32",208518,243931,348,3657,FinTwit,Ramp Capital,RampCapitalLLC,104035,,http://ramp.substack.com,false
,Mon Sep 21 21:43:33 +0000 2020,,,,3,1308159958458888193,,,,en,,,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Friend : Is there a vaccine, drug or treatment for COVID-19?

Me : Yeah! Drink sanitizer.",https://twitter.com/anaskhan2909/status/1308159958458888193,Sat Aug 13 19:41:57 +0000 2016,anaskhan2909,false,,3339,435,10,4,,Anas Khan,anaskhan2909,8544,,https://www.instagram.com/anaskhan2909,false
,Sat Oct 10 08:49:10 +0000 2020,,,,1,1314850449535705088,,,,en,,,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","What are you going to do if the Covid 19 vaccine is made mandatory for the entire world population? Is there a case for suicide? Ethically speaking? What is the best strategy? BTW, I have no children, so I could avoid that dilemma if they plan to separate kids from their family.",https://twitter.com/teresa_valaer/status/1314850449535705088,Thu Apr 02 00:03:32 +0000 2015,teresa_valaer,false,Language lover and translator,493,8,70,0,Turin,Teresa Marie Valaer,teresa_valaer,281,,,false
,Mon Oct 05 23:02:49 +0000 2020,,,,0,1313253337970638849,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Is there a CPT code for explaining to patients that having a flu shot will not increase their risk of getting Covid-19, and that nothing related to Covid-19 is being put in the vaccines? I think I deserve extra compensation for convincing such people to have their flu vaccines.",https://twitter.com/RonChusid/status/1313253337970638849,Fri Feb 12 16:12:15 +0000 2010,RonChusid,false,"I am a doctor and primarily post about saving lives, such as following the science on the pandemic, ending the wars, and providing Medicare for All.",104,5319,5656,258,West Michigan,Ron Chusid,RonChusid,13536,,http://liberalvaluesblog.com,false
,Tue Sep 29 08:43:05 +0000 2020,,,,1,1310862653749952512,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FACT: Vitamin and mineral supplements cannot cure COVID-19.

WHO is coordinating efforts to develop and evaluate medicines to treat COVID-19.",https://twitter.com/AlaaAhm72962751/status/1310862653749952512,Tue Jun 09 20:13:27 +0000 2020,AlaaAhm72962751,false,"‏لست مهزوما ما دمت تقاوم 👌
‎#اطمن",99,14,61,0,"الفيوم, مصر",Alaa Ahmed,AlaaAhm72962751,62,,,false
,Tue Sep 29 15:41:27 +0000 2020,,,,10,1310967935561728002,,,,en,,,4,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""They've Killed God; I Can't Feel God; My Soul Is Dead"" the Halts COVID-19 Vaccine Trials after Second Volunteer ""Develops Neurological problems""

Is there a source for this?
I've been searching",https://twitter.com/FranksBullitts/status/1310967935561728002,Fri May 01 02:43:08 +0000 2009,FranksBullitts,false,"My Body ⛔ 💉 My Choice -
Pro-life | Freedom Matters |
I serve God |
Truth over facts and facts over feelings.",49820,5098,2117,36,Canada,Frank 💥 Bullitt,FranksBullitts,21781,,,false
,Fri Sep 04 00:18:37 +0000 2020,,,,2,1301676003333349376,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Is there a FDA approved vaccine for coronavirus?
There are currently no vaccines available for the prevention of COVID-19. 
The FDA is expediting clinical trials for vaccines by providing ""timely advice"" to and ""interactions"" with vaccine developers.
SO, DON'T HOLD YOUR BREATH!",https://twitter.com/johnnyventure/status/1301676003333349376,Wed May 20 00:19:27 +0000 2009,johnnyventure,false,"Ex club musician/mgr/artist Now, cloistered in the mountains to enjoy my older years. Life-long Non theist-lib-resist-pacifist. From Long Beach, New York.",9041,1600,4946,2,Deep in the Redwoods,John Abramson,johnnyventure,7935,,,false
