coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Mar 23 17:13:35 +0000 2020,,https://twitter.com/_SJPeace_/status/1242137430322446344/photo/1,,312490,1242137430322446344,,,,en,,false,111019,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","This is Dr. Usama Riaz. He spent past weeks screening and treating patients with Corona Virus in Pakistan. 

He knew there was no PPE. He persisted anyways.

Today he lost his own battle with coronavirus but he gave life and hope to so many more. 

KNOW HIS NAME 😭❤ https://t.co/flSwhLCPmx",https://twitter.com/_SJPeace_/status/1242137430322446344,Wed Jul 25 17:22:39 +0000 2012,_SJPeace_,false,"Human/Civil Rights Activist- Muslim, American. Pakistani roots. Educated man of color - changing the world one friend at a time. ✊🏾 BLACK LIVES MATTER",33304,342096,40898,933,"Detroit, MI",StanceGrounded,_SJPeace_,42198,,,false
,Fri Mar 20 21:08:45 +0000 2020,COVID19 kckpd commonsense norumors,https://twitter.com/KCKPDChief/status/1241109446111174657/photo/1,,1581,1241109446111174657,,,,en,,false,607,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","We don't like rumors. Please don't spread them. If you are telling people that the Nat. Guard is going to impose Martial Law, please stop. It's not true. They are busy being helping distribute medical supplies. Please and thank you. #COVID19 #kckpd #commonsense #norumors https://t.co/SJrT5ndVEU",https://twitter.com/KCKPDChief/status/1241109446111174657,Fri Feb 13 21:43:34 +0000 2015,KCKPDChief,false,"Serving the residents of Kansas City, Kan. & Wyandotte County with ""Safety First. Courtesy Always."" For emergencies dial 911.",7526,12309,4009,164,"700 Minnesota Avenue, KS","Kansas City, Kansas Police Department",KCKPDChief,9619,,http://www.kckpd.org,false
,Thu Mar 19 16:47:04 +0000 2020,COVID19,https://twitter.com/JMSilverbrook/status/1240681203449114630/photo/1,,244753,1240681203449114630,,,,en,,false,21376,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is my mom. She’s my hero. She’s a 60 year old primary care physician testing patients for #COVID19. She is putting her health on the line to test patients, get them the care they need, and do what she can to prevent community spread and the overburdening of our hospitals. https://t.co/zRjppSxpPn",https://twitter.com/JMSilverbrook/status/1240681203449114630,Mon Jul 02 00:01:20 +0000 2012,JMSilverbrook,false,Senior Director of Partnerships & Constitutional Scholar in Residence at @iCivics,8066,5635,4109,108,"Bethesda, MD",Julie Silverbrook,JMSilverbrook,17772,,,false
,Mon Mar 23 20:12:33 +0000 2020,coronavirus FactsFirst,https://twitter.com/TrumpWarRoom/status/1242182466892435461/video/1,https://www.washingtonexaminer.com/opinion/cnns-jake-tapper-cites-trump-falsehoods-as-justification-for-allowing-aoc-to-spread-fake-news-on-his-show,702,1242182466892435461,,,,en,,false,302,,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","After failing to correct @AOC's lie that President Trump called the #coronavirus a ""hoax,"" @CNN's Jake Tapper admitted he knew ""the president did not call the virus a hoax.""

Today @tomfriedman repeated the same lie. Tapper did not correct him. https://t.co/o31FI8osb5 #FactsFirst https://t.co/MmQzG1JSTD",https://twitter.com/TrumpWarRoom/status/1242182466892435461,Wed Mar 20 20:54:58 +0000 2019,TrumpWarRoom,false,This account punches back 10x harder. Managed by Save America 🇺🇸,99,1327039,266,3448,MAGA Country,Trump War Room,TrumpWarRoom,27464,,https://www.donaldjtrump.com/,true
,Mon Mar 23 03:03:48 +0000 2020,,,,13237,1241923572144074754,,,,en,,,3543,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Remember when the Chairman of the Senate Intelligence Committee enriched himself through stock trades off of inside information about the danger of COVID-19 while his Party told people it was a hoax to get Trump?,https://twitter.com/brhodes/status/1241923572144074754,Sat Jan 14 19:38:18 +0000 2017,brhodes,false,"Pod Save The World, MSNBC, Author - After the Fall: Being American in the World We've Made: https://t.co/qzG9cDCc2X",5707,558886,1654,4864,"Washington, DC",Ben Rhodes,brhodes,9368,,https://www.penguinrandomhouse.com/books/609428/after-the-fall-by-ben-rhodes/,true
,Sat Mar 21 17:49:09 +0000 2020,,,https://www.nationalgeographic.com/animals/2020/03/coronavirus-pandemic-fake-animal-viral-social-media-posts/,15585,1241421603575119874,,,,en,,false,6111,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FRIENDS. The stuff about nature healing and wildlife returning because of COVID-19 is fake. https://t.co/IlVdiSdlun,https://twitter.com/BathysphereHat/status/1241421603575119874,Mon Apr 02 03:03:28 +0000 2012,BathysphereHat,false,"Artist. Autistic, ADHD, lesbian enby. Disability, MH, & trans activist. Header: https://t.co/hzZXcibWXI Donations: https://t.co/opKTOtUaYo they/them",148729,9568,1484,117,"Atlanta, GA",Rabbit Cohen,BathysphereHat,231432,,,false
,Mon Mar 23 16:51:05 +0000 2020,,,,257753,1242131768662282243,,,,en,"Charlottesville, VA",,55307,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CDC just announced that corona can be spread via Instagram story challenges :-/,https://twitter.com/omer___go/status/1242131768662282243,Mon Aug 29 15:36:49 +0000 2016,omer___go,false,"welcome employers and graduate programs, mostly passing thoughts archived through words & photos sometimes drawings & memes | uva sarc 21",33189,2201,1610,11,,Omer Gorashi ~ off hiatus,omer___go,16491,,https://www.instagram.com/soozysufi/,false
,Mon Mar 23 03:06:10 +0000 2020,COVID19,,,160495,1241924168263897089,,,,en,,,22686,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","One of my coworkers died today from #COVID19. Not much older, great guy. We were just sitting together a couple weeks ago, talking about whatever. The next time I saw him, he was admitted to the ICU. And that was the last time I saw him.

My whole body feels numb. 💔",https://twitter.com/brianchiong/status/1241924168263897089,Tue Jul 26 16:14:04 +0000 2011,brianchiong,false,Interventional Radiologist. Radiology Department Chair. Dancer. #irad #MedTwitter #EDMTwitter #DocsWhoRock #CarnivoreDiet 🏍️🥋🧘🏻‍♂️🎸🕺🛹🏀🏒🏳️‍🌈🇲🇲,56543,13182,4756,146,"New York, NY","B. Bobby Chiong, MD",brianchiong,44616,,http://brianchiong.com,false
,Thu Mar 19 14:32:19 +0000 2020,,,,148164,1240647292543262721,,,,en,,,25981,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Y’all dirty mfs brought corona home from Miami &amp; now it’s increased by 88% in 48HRS ....,https://twitter.com/TheLifeOfNayy/status/1240647292543262721,Thu Dec 16 19:07:44 +0000 2010,TheLifeOfNayy,false,Are you living or are you just surviving? NHT🦋💜 4Laines🧡,87981,2652,2856,2,☼Leo ☽Leo ↑Cancer| #BLM ,2:03🦋,TheLifeOfNayy,149695,,https://blacklivesmatters.carrd.co/,false
,Fri Mar 20 01:12:14 +0000 2020,,,https://twitter.com/WHNSC45/status/1239398218292748292,3173,1240808335349342208,,,,en,,false,1589,,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>","As we saw over the wkend, disinfo is being spread online about a supposed national lockdown and grounding flights. Be skeptical of rumors. Make sure you’re getting info from legitimate sources. The @WhiteHouse is holding daily briefings and @cdcgov is providing the latest. https://t.co/pgXR2Leqqy",https://twitter.com/WHNSC45/status/1240808335349342208,Fri Mar 10 16:22:22 +0000 2017,WHNSC45,false,"This is an archive of a Trump Administration account, maintained by the National Archives and Records Administration.",0,170519,5,769,"Washington, DC",NSC 45 Archived,WHNSC45,1902,,https://www.trumplibrary.gov/,true
