coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Fri Jul 24 07:57:15 +0000 2020,,,,0,1286571130266894336,,,,en,,,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Lung ultrasound shows duration, severity of coronavirus disease (COVID-19)",https://twitter.com/KnowmadYash/status/1286571130266894336,Wed Dec 28 11:02:38 +0000 2011,KnowmadYash,false,🪞 :): ☯️⚛️☸️,14,2209,1075,96,,Yash 𝐓☻,KnowmadYash,560018,,https://twitter.com/OwnistYash,false
,Tue Aug 18 10:30:45 +0000 2020,,,,0,1295669455880704002,,,,en,,,0,,,"<a href=""http://pocketinfopush.com"" rel=""nofollow"">Stock News Alerts</a>","$CLX Clorox and Cleveland Clinic Release Guide to Help People Stay Safer at Home During COVID-19
From our Stock News Alerts App",https://twitter.com/Allstocknews/status/1295669455880704002,Sat Feb 22 15:38:57 +0000 2014,Allstocknews,false,"Stock news alerts from press releases and SEC filings
Find the custom app in the appstore at Stock News Alerts by Pocket Information LLC",0,4456,8,226,,$Stocknewsalerts,Allstocknews,904842,,https://itunes.apple.com/sg/app/stock-news-alerts/id708293183?mt=8,false
,Sun Jul 12 07:57:22 +0000 2020,,,,0,1282222505672024064,,,,en,,,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Why lopinavir and hydroxychloroquine do not work on COVID-19,https://twitter.com/KnowmadYash/status/1282222505672024064,Wed Dec 28 11:02:38 +0000 2011,KnowmadYash,false,🪞 :): ☯️⚛️☸️,14,2209,1075,96,,Yash 𝐓☻,KnowmadYash,560018,,https://twitter.com/OwnistYash,false
,Wed Jul 22 08:13:20 +0000 2020,,,,0,1285850400474759169,,,,en,,,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Coronavirus antibodies fall dramatically in first 3 months after mild cases of COVID-19 according to new UCLA study. Decreasing by roughly half every 73 days. If sustained at that rate, the antibodies would disappear within about a year",https://twitter.com/localhostsci/status/1285850400474759169,Sun Jul 09 14:45:38 +0000 2017,localhostsci,false,Practically magic,0,22,1,0,,localhostscience,localhostsci,24546,,,false
,Tue Jul 07 13:50:43 +0000 2020,,,,0,1280499491163049984,,,,en,,,0,,,"<a href=""http://zla.biz"" rel=""nofollow"">Zla</a>",Atlanta mayor tests positive for COVID-19 – Atlanta Journal Constitution,https://twitter.com/zlabiz/status/1280499491163049984,Mon Aug 02 22:54:37 +0000 2010,zlabiz,false,Official Twitter Account of Zla (News Aggregation Website Providing Real Time News via Google Feeds from Thousands of News Sources Globally as It Happens ),0,65,47,3,Global,Zla Official,zlabiz,250462,,https://zla.biz,false
,Wed Jul 08 16:00:12 +0000 2020,,,,5,1280894464505118723,,,,en,,,4,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Atlanta Mayor Keisha Bottoms Tests Positive For COVID-19 After Marching with Black Lives Matter Militants! @gatewaypundit 

But, but, the Progressive Socialist Dems said the ""Protests/Riots"" didn't pose any risk of spreading COVID19!",https://twitter.com/CorporalBen/status/1280894464505118723,Fri Dec 07 19:05:11 +0000 2018,CorporalBen,false,"West Virginia Born/Raised. WVU Grad, USAF Air Rescue Corpsman.  Constitutionalist, Son is an Active Duty Marine.",16354,6728,7033,0,The NSA Knows,Corporal Ben/Paladin,CorporalBen,49969,,,false
,Fri Aug 07 20:27:28 +0000 2020,,,,0,1291833359673556992,,,,en,,,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","There’s More Evidence That Black Americans Face High Risks from COVID-19 Gaps in healthcare make it harder for many Black Americans to manage chronic health conditions that may contribute to poor outcomes from COVID-19.

(Feed generated with FetchRSS)",https://twitter.com/alphonsemaryve/status/1291833359673556992,Fri Jan 27 12:51:23 +0000 2017,alphonsemaryve,false,We are Experts in steel doors,0,3,30,1,"Delta, British Columbia",Alphonsemary,alphonsemaryve,12156,,,false
,Thu Jul 16 07:57:15 +0000 2020,,,,0,1283672029032599555,,,,en,,,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Common FDA-approved drug may effectively neutralize virus that causes COVID-19,https://twitter.com/KnowmadYash/status/1283672029032599555,Wed Dec 28 11:02:38 +0000 2011,KnowmadYash,false,🪞 :): ☯️⚛️☸️,14,2209,1075,96,,Yash 𝐓☻,KnowmadYash,560018,,https://twitter.com/OwnistYash,false
,Sat Aug 01 02:46:41 +0000 2020,,,,0,1289392076426100736,,,,en,,,0,,,"<a href=""https://wilkensonknaggs.com"" rel=""nofollow"">App for WilkensonKnaggs.com</a>",Which HCPs Are Most Likely to Get COVID Vaccine?,https://twitter.com/Wilkensonknaggs/status/1289392076426100736,Fri Mar 22 10:43:49 +0000 2019,Wilkensonknaggs,true,,0,14,0,0,,wilkenson,Wilkensonknaggs,24969,,,false
,Fri Jul 31 02:27:15 +0000 2020,,,,0,1289024800082538497,,,,en,,,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Medical Experts Say We Need a Second Shutdown to Control COVID-19 Over 150 medical experts signed an open letter advising government officials to implement a second shut down. They say we need to shut down in order…

(Feed generated with FetchRSS)",https://twitter.com/alphonsemaryve/status/1289024800082538497,Fri Jan 27 12:51:23 +0000 2017,alphonsemaryve,false,We are Experts in steel doors,0,3,30,1,"Delta, British Columbia",Alphonsemary,alphonsemaryve,12156,,,false
,Wed Aug 19 21:27:12 +0000 2020,,,,0,1296197044839821320,,,,en,,,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Psychologist Talks to Healthline About Mental Strain of COVID-19 Dr. Timothy Legg spoke at a Healthline town hall today on the COVID-19 pandemic. The town hall also featured Dr. Anthony Fauci, director of the…

(Feed generated with FetchRSS)",https://twitter.com/alphonsemaryve/status/1296197044839821320,Fri Jan 27 12:51:23 +0000 2017,alphonsemaryve,false,We are Experts in steel doors,0,3,30,1,"Delta, British Columbia",Alphonsemary,alphonsemaryve,12156,,,false
,Fri Jul 17 05:01:51 +0000 2020,,,,0,1283990272674856960,,,,en,,,1,,,"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>","Obesity and metabolic syndrome are risk factors for severe influenza, COVID-19: Metabolic syndrome increases the…",https://twitter.com/Bainein/status/1283990272674856960,Thu Mar 29 17:39:26 +0000 2012,Bainein,false,"Research / Development for Diabetes, Diabetes  Awareness, #Diabetes Type 1 diabetes can occur at any age, but it is most often diagnosed in children, teens.",7,534,1219,16,Dallas Texas,Diabetes,Bainein,17674,,http://www.youtube.com/user/bainein,false
,Mon Aug 03 10:54:42 +0000 2020,,,,1,1290239666596114434,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WHO just announced there's no silver bullet for COVID-19 and may never be

Source: Spectator Index",https://twitter.com/Detribalized_1/status/1290239666596114434,Tue Mar 24 19:01:21 +0000 2020,Detribalized_1,false,"Neuroscience. Biomedical Communications. Copy Writing. Sports. Civic Leadership. Global Affairs.(Back up Account, Main Account Still Suspended, Help Beg Jack!)",12688,739,727,0,Nigeria,SIJI,Detribalized_1,21278,,,false
,Tue Aug 25 12:00:09 +0000 2020,,,,0,1298228668204896258,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","What does HIV have to do with Covid-19?

PCR played a central role in the HIV war (a war you don’t know about, that lasted 22 years, between Globalist post-modern HIV scientists and classical scientists.) The latter lost the war. Unless you count being correct as winning.",https://twitter.com/DebtSlave7bn/status/1298228668204896258,Fri Feb 15 00:36:26 +0000 2013,DebtSlave7bn,false,(All That Is..Infinite Love)... https://t.co/xIElAmHEGi,190,291,9,26,,Earth Debt,DebtSlave7bn,91914,,,false
,Mon Aug 31 14:31:33 +0000 2020,health,,,3,1300441098884657154,,,,en,,,1,,,"<a href=""https://commun.it"" rel=""nofollow"">Commun.it Intelligence</a>",The Antiviral used to treat cat coronavirus also works against SARS-CoV-2 #health,https://twitter.com/drjitesharora/status/1300441098884657154,Thu Sep 29 03:14:08 +0000 2011,drjitesharora,false,"Physician/Blogger/Author/Diabetologist/Clinical Cardiologist
#Diabetes
#DiabetesFoods
#Diabetesawareness",12410,12534,11151,0,India,Dr Jitesh Arora,drjitesharora,38194,,http://www.healthblogster.com,false
,Mon Aug 24 12:16:12 +0000 2020,,,,1,1297870319399690241,,,,en,,,0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","WSJ:
FDA authorizes convalescent plasma for Covid-19 use
New coronavirus cases in U.S. at the lowest level since late June
GOP to call for keeping the economy open at this week's convention",https://twitter.com/JackieTHarty/status/1297870319399690241,Wed Oct 17 16:23:20 +0000 2012,JackieTHarty,false,Child of God/Mom&Grandma/JeaneKirkpatrick/all 8 Reagan years@State Dept & White HouseNSC/DC think tanks/CubanAmericans/Jazz&Jeeps/GA&PuertoRico,11332,555,959,3,United States,JackieTillmanHarty,JackieTHarty,18572,,,false
,Sat Aug 01 05:27:29 +0000 2020,,,,0,1289432542983012353,,,,en,,,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","How and When Children Should Return to Sports During COVID-19 Experts say small group practices and clean common areas should be among the guidelines before children return to the playing field.

(Feed generated with FetchRSS)",https://twitter.com/alphonsemaryve/status/1289432542983012353,Fri Jan 27 12:51:23 +0000 2017,alphonsemaryve,false,We are Experts in steel doors,0,3,30,1,"Delta, British Columbia",Alphonsemary,alphonsemaryve,12156,,,false
,Sun Aug 23 21:36:03 +0000 2020,,,,3,1297648824756797441,,,,en,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",***FDA authorizes clearance for CONVALESCENT PLASMA as COVID-19 treatment,https://twitter.com/neurapink/status/1297648824756797441,Wed Aug 12 23:34:43 +0000 2009,neurapink,false,my tweets are my opinions. couldn’t care less about yours. 🔻 not financial advice. $LINK $RUNE,159555,20140,135,0,Cornucopia ,⬡,neurapink,145136,,,false
