coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Fri Jun 12 02:00:20 +0000 2020,,,https://www.health.com/condition/infectious-diseases/coronavirus/can-you-catch-coronavirus-pool-chloride-kills-virus?utm_source=twitter.com&utm_medium=social&utm_campaign=social-share-article,0,1271261017918472192,,,,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? https://t.co/rmpYgZeBtX,https://twitter.com/marinarena/status/1271261017918472192,Mon Mar 02 16:02:59 +0000 2009,marinarena,false,"Writer/manager/advocate Creator of blog/guide/shop https://t.co/TLZASNgASt. Be well, get out & discover sea & land. Learn about & book #travel. Shop #smallbusiness",4973,1819,1937,89,CA,Marie C,marinarena,5451,,https://www.marinarena.com/Sea-It-Shop/,false
,Wed Jul 01 23:24:32 +0000 2020,,,https://www.health.com/condition/infectious-diseases/coronavirus/can-you-catch-coronavirus-pool-chloride-kills-virus,0,1278469567879286787,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say https://t.co/fkksABN0L1,https://twitter.com/SeanKnightja/status/1278469567879286787,Sat Jun 30 04:14:51 +0000 2012,SeanKnightja,false,Average Jamaican Joesph,146,33,257,0,,Sean Knight,SeanKnightja,2724,,,false
,Mon Jun 22 20:35:22 +0000 2020,,,https://www.health.com/condition/infectious-diseases/coronavirus/can-you-catch-coronavirus-pool-chloride-kills-virus,0,1275165506492747778,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say https://t.co/jWbvnNwI8K,https://twitter.com/acphillips59/status/1275165506492747778,Thu Oct 13 21:55:19 +0000 2011,acphillips59,false,"Wife,Twin,Momx3,RN,Christian conserv,US&Israel♥️r,conserv thought junkie,dittos,USC grad✌🏻sports,guns,cars, aviation,music&animal❤️r #proudMarineMom x2 Oohrah!",40296,1101,3790,1,,ACP,acphillips59,42411,,,false
,Thu May 21 08:11:12 +0000 2020,,,https://www.thesun.co.uk/travel/11550719/catch-coronavirus-pools-sea,0,1263381816091848704,beverleyhb57,1263354436715450400,769915414759505900,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@beverleyhb57 @janis_garbutt Can you catch coronavirus in swimming pools or sea water ...
https://t.co/Hy98iq1bOl",https://twitter.com/john89roebuck/status/1263381816091848704,Tue Oct 03 18:21:37 +0000 2017,john89roebuck,false,,398,406,1502,0,United Kingdom,nofanmail,john89roebuck,3308,,,false
,Wed Jun 10 14:27:02 +0000 2020,,,https://www.health.com/condition/infectious-diseases/coronavirus/can-you-catch-coronavirus-pool-chloride-kills-virus?utm_source=twitter.com&utm_medium=social&utm_campaign=social-share-article,0,1270724155063717890,,,,en,,false,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? H...https://t.co/KCm0eQY2cA,https://twitter.com/WHCAinfo/status/1270724155063717890,Fri Apr 27 22:36:01 +0000 2012,WHCAinfo,false,"The official Twitter account of the Woodland Heights Civic Association in Houston, Texas",7,473,26,0,"Houston, Texas",Woodland Heights,WHCAinfo,837,,http://www.woodland-heights.org,false
,Mon Jun 08 03:09:35 +0000 2020,,,https://nypost.com/2020/06/06/can-you-catch-the-coronavirus-from-a-swimming-pool/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons,0,1269828896104632320,,,,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Can you catch the coronavirus from a swimming pool? https://t.co/ZtnL0MAJEH via @nypost CDC has been wrong since the virus started. Open space ocean and pools will be fine to be in. Remember the models were way off base,https://twitter.com/EdwardG60860353/status/1269828896104632320,Thu Nov 05 14:21:34 +0000 2015,EdwardG60860353,true,,7,3,35,0,,Edward Grant,EdwardG60860353,2617,,,false
,Fri Jun 05 16:54:08 +0000 2020,,,https://www.newsbreakapp.com/n/0PFDZv8w?pd=05bn7Ykp&s=i2,0,1268949236848062464,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say https://t.co/XswVsgn8hK,https://twitter.com/LynneAShapiro/status/1268949236848062464,Thu Feb 12 08:00:00 +0000 2009,LynneAShapiro,false,"Full time, Realtor for over 34 years, CMPS, CREA, CRS and GRI designations, multi-milion dollar producer. Also a freelance writer.",2772,1358,2182,19,"Scottsdale, Arizona",Lynne A Shapiro,LynneAShapiro,33921,,http://www.crea.net/LynneShapiro,false
,Sat Jun 06 07:26:18 +0000 2020,,,http://Health.com https://www.health.com/condition/infectious-diseases/coronavirus/can-you-catch-coronavirus-pool-chloride-kills-virus,0,1269168725036601344,,,,en,,false,0,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say - https://t.co/15xJ2eblmL https://t.co/9wiQDrq1ub,https://twitter.com/swimmsolutions/status/1269168725036601344,Wed Jul 25 05:46:26 +0000 2018,swimmsolutions,false,"We’re a proud family-owned and veteran-owned local pool cleaning, pool maintenance, and pool repair business operating out of beautiful Orlando [Winter Garden]",0,47,48,1,"Winter Garden, FL",Swim Solutions,swimmsolutions,27627,,http://www.swimmsolutions.com/,false
,Sat Jun 06 22:47:33 +0000 2020,,,https://www.health.com/condition/infectious-diseases/coronavirus/can-you-catch-coronavirus-pool-chloride-kills-virus?utm_source=twitter.com&utm_medium=social&utm_campaign=social-share-article,0,1269400562392428544,,,,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? H...https://t.co/mdsqrhSvjc,https://twitter.com/bgordski/status/1269400562392428544,Thu Dec 04 09:01:21 +0000 2008,bgordski,false,"75yo, Proscience, worries: killer Asteroids, yellowstone super volcanoes(volcanic winter)&marine landslides/Tsunami hitting EC USA pro-vaccine #vaccineswork",35901,1862,4997,121,"San Francisco, CA, United Stat",Bob McCullough,bgordski,49131,,,false
,Sat Jun 06 21:00:15 +0000 2020,,,http://ow.ly/xzPx30qNiSe,0,1269373563343122434,,,,en,,false,0,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say
https://t.co/e5z96YOIzw",https://twitter.com/BoneKnightmare/status/1269373563343122434,Wed Feb 11 05:07:50 +0000 2009,BoneKnightmare,false,Fleet Admiral of #TheResistance since Day 0. Now that we are under new management don't fall back to sleep.,33380,4212,4595,223,Parts Unknown,#TheResistance,BoneKnightmare,277587,,http://boneknightmare.blogspot.com,false
