coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Aug 11 17:12:21 +0000 2020,,,,0,1293233806103777281,EOrioledh,1293055689078853600,1652743814,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@EOrioledh I'm in.,https://twitter.com/ShannK14/status/1293233806103777281,Fri Mar 27 19:50:04 +0000 2020,ShannK14,false,"Wife, Mom and Gigi❤ Conservative, #backtheblue",37267,1549,3520,1,"in the middle of nowhere,  USA",Shann K.,ShannK14,5031,,,false
,Thu Jul 30 04:37:28 +0000 2020,,,,0,1288695181039095808,trevorweissman,1288695178237272000,2915570708,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I apologize for the misinformation I tweeted earlier. I should’ve done my research before jumping to conclusions.,https://twitter.com/trevorweissman/status/1288695181039095808,Mon Dec 01 11:54:17 +0000 2014,trevorweissman,false,Wisdom-filled Christian/Conservative Apologist | Proverbs 3:5-6 Trust in the LORD with all your heart | Defender of Traditional Conservative Values,16160,864,730,1,"Texas, USA",Trevor Weissman,trevorweissman,6481,,,false
,Tue Aug 11 08:24:24 +0000 2020,,,,0,1293100944880631809,EOrioledh,1293055689078853600,1652743814,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@EOrioledh @JuicySARSBurger When where? I’ll sign!,https://twitter.com/TinyDancer_1_/status/1293100944880631809,Mon Jun 01 07:10:19 +0000 2020,TinyDancer_1_,false,,37816,714,2585,1,"Portland, OR",TinyDancer PDX,TinyDancer_1_,23625,,,false
,Mon Aug 03 08:04:17 +0000 2020,,,,0,1290196780886290432,striga1,1290072458129584000,98231690,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@striga1 As a betting man - no,https://twitter.com/GammonStake/status/1290196780886290432,Thu Nov 01 17:14:42 +0000 2018,GammonStake,false,"Was right of centre, pushed further right. 
Proud Englishman, ashamed at how pc idiocy is degrading our great Nation.",21242,981,1118,2,,GammonStake,GammonStake,10397,,,false
,Mon Aug 31 00:10:56 +0000 2020,,,,1,1300224517156016129,thescootermcgee,1300187087421886500,16078194,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@thescootermcgee Scooter!!! That's because it you died of a heart attack or in a car crash and had Covid at the time of death, you died from Covid....",https://twitter.com/Goofy014/status/1300224517156016129,Thu Feb 24 02:14:53 +0000 2011,Goofy014,false,,11,22,44,0,Minneapolis,Tony Barrett,Goofy014,52,,,false
,Tue Aug 11 06:23:13 +0000 2020,,,,1,1293070448456921094,EOrioledh,1293055689078853600,1652743814,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@EOrioledh Where do I sign?,https://twitter.com/DianeMAnderson9/status/1293070448456921094,Fri Dec 06 04:18:40 +0000 2019,DianeMAnderson9,false,I'm a mom.,2341,21,153,0,,Diane M Anderson,DianeMAnderson9,817,,,false
,Tue Aug 11 17:16:22 +0000 2020,,,,0,1293234819422461952,EOrioledh,1293055689078853600,1652743814,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@EOrioledh Done,https://twitter.com/billfrlsu/status/1293234819422461952,Sat Aug 27 21:45:09 +0000 2016,billfrlsu,false,Landscaper/Horticulturist/coffee drinker/Avid sports fan/ Craft Beer Drinker Stand for the Flag Cabin owner Protector of the Constitution MAGA Trump2020🇺🇸🐻🏔,5324,1735,3379,0,"Houston, TX",Bill Frere 🇺🇸🇺🇸 MAGA🇺🇸🇺🇸🏔🏔🐻Geaux Tigers,billfrlsu,4997,,,false
,Tue Aug 11 05:46:38 +0000 2020,,,,2,1293061241737551873,EOrioledh,1293055689078853600,1652743814,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@EOrioledh Sign me up, I'm in☝️",https://twitter.com/SeriousBidnessX/status/1293061241737551873,Mon May 25 21:35:55 +0000 2020,SeriousBidnessX,false,Parler & Gab @sara138 ✨🌺💫,6176,292,506,0,,Sara🔆,SeriousBidnessX,4604,,,false
,Tue Jul 28 00:54:19 +0000 2020,,,,2,1287914246148435968,40yearsyoung1,1287912887705653200,1158447564036989000,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@40yearsyoung1 No.

Multiple Physicians have said this from Houston and Dallas. 

The Medical Boards and Departments of Health have been threatening and pressuring physicians. 

I have firsthand knowledge of this, these are the BRAVE ones, sticking together.",https://twitter.com/lonestarangle/status/1287914246148435968,Wed Sep 15 05:06:41 +0000 2010,lonestarangle,false,Faith Family America 👏💖 🇺🇸 Reject Socialism. Kids aren't superspreaders. Masks don't work. Open Your Businesses! #NeverGiveUp  🕊 Ephesians 3:20,180072,3852,4152,15,Texas,Americana🗽#SaveAmerica,lonestarangle,60441,,,false
,Tue Aug 11 08:55:37 +0000 2020,,,https://petitions.whitehouse.gov/petition/please-give-zelenko-protocol-eua,3,1293108802405818368,EOrioledh,1293055689078853600,1652743814,en,,false,3,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@EOrioledh Here's the petition for Emergency Use Authorization (EUA) for low dose HCQ + zinc + azithromycin, aka, Zelenko Protocol.  After signing the petition you will get an email with a confirmation link to complete. https://t.co/LDktSSpTN5",https://twitter.com/Espie215/status/1293108802405818368,Mon Jun 15 02:32:16 +0000 2020,Espie215,false,"ER RN (ret.), urban farmer, libertarian.  Expose the voter/election fraud #FightBack #ElectionIntegrity",26198,42,514,0,,ShellsBells,Espie215,675,,,false
,Tue Aug 11 06:01:12 +0000 2020,,,,2,1293064908549038080,EOrioledh,1293055689078853600,1652743814,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@EOrioledh Sign me up.,https://twitter.com/TXLEOS/status/1293064908549038080,Sun Mar 01 01:19:57 +0000 2009,TXLEOS,false,"A very proud conservative guy in TX who 100% supports our great POTUS, DJT.  #MAGA",4394,758,1675,2,,Texan,TXLEOS,7815,,,false
,Tue Aug 11 08:43:32 +0000 2020,,,,1,1293105759346143232,EOrioledh,1293055689078853600,1652743814,en,,,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@EOrioledh @KateHar28029924 Wouldn't that be between a patient &amp; his doctor??  What's your stake in this?,https://twitter.com/Terry32373150/status/1293105759346143232,Fri Apr 17 23:51:29 +0000 2020,Terry32373150,true,"Been there, done that!",35817,56,225,0,"Florida, USA",Terry,Terry32373150,10722,,,false
,Tue Aug 11 16:27:56 +0000 2020,,,,0,1293222628791144451,EOrioledh,1293055689078853600,1652743814,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@EOrioledh Where is the data to support this.  I've seen none,https://twitter.com/Jboogs49/status/1293222628791144451,Sat Mar 28 04:59:27 +0000 2009,Jboogs49,false,,68,60,428,1,,Jamahl Cochran,Jboogs49,160,,,false
